stop_id_a,nom_a,stop_id_b,nom_b,distance_metres,nb_observations
IDFM:21991,Pyrénées,IDFM:463192,Jourdain,355,741
IDFM:21992,Rambuteau,IDFM:463061,Hôtel de Ville,505,739
IDFM:21993,Télégraphe,IDFM:21951,Place des Fêtes,499,739
IDFM:21994,Arts et Métiers,IDFM:463316,Temple,369,991
IDFM:21995,Jourdain,IDFM:463287,Pyrénées,328,739
IDFM:21996,Goncourt,IDFM:21937,République,537,739
IDFM:21997,Arts et Métiers,IDFM:462960,République,758,741
IDFM:21998,Belleville,IDFM:21991,Pyrénées,651,741
IDFM:21999,Mairie des Lilas,IDFM:463263,Porte des Lilas,764,739
IDFM:22000,Saint-Marcel,IDFM:22009,Campo-Formio,402,1331
IDFM:22001,Stalingrad,IDFM:21952,Jaurès,360,1314
IDFM:22002,Richard-Lenoir,IDFM:22008,Bréguet-Sabin,416,1331
IDFM:22003,Porte de Pantin,IDFM:22005,Ourcq,473,1331
IDFM:22004,Quai de la Rapée,IDFM:22010,Bastille,835,1314
IDFM:22005,Ourcq,IDFM:462999,Laumière,568,1331
IDFM:22006,Place d'Italie,IDFM:463020,Campo-Formio,550,1297
IDFM:22007,Gare du Nord,IDFM:463021,Gare de l'Est,590,1331
IDFM:22008,Bréguet-Sabin,IDFM:463018,Bastille,404,1331
IDFM:22009,Campo-Formio,IDFM:463025,Place d'Italie,647,1331
IDFM:22010,Bastille,IDFM:463138,Bréguet-Sabin,364,1314
IDFM:22011,Jacques Bonsergent,IDFM:22013,Gare de l'Est,702,1314
IDFM:22012,Laumière,IDFM:463027,Ourcq,568,1314
IDFM:22013,Gare de l'Est,IDFM:463182,Gare du Nord,584,1314
IDFM:22014,Bobigny-Pantin - Raymond Queneau,IDFM:463131,Bobigny - Pablo Picasso,2295,1314
IDFM:22015,Bobigny - Pablo Picasso,IDFM:463002,Bobigny-Pantin - Raymond Queneau,2297,1316
