zdc,ligneLabel,destination,accId,labelPosition,position,positionMax,equipement,directionId,terminusReel,zdcSuivant
71897,11,"bd de la Boissière",50149892,Avant,1,5,Ascenseur,1,Châtelet,71947
71897,11,"bd de la Boissière",50149892,Arrière,4,5,Ascenseur,1,Châtelet,71947
490782,11,"r. de la Dhuys",50149896,Avant,2,5,Ascenseur,0,Rosny-Bois-Perrier,490783
70645,14,"r. Tagore",50149930,Milieu,5,8,Escalier,1,"Aéroport d'Orly",70445
70645,14,"r. de la Vistule",50149931,Milieu,5,8,Escalator,0,"Saint-Denis - Pleyel",71557
70645,14,"r. Bourgon",50149932,Arrière,7,8,Escalator,1,"Aéroport d'Orly",70445
69677,14,"Entrée / Sortie",50149941,Arrière,7,8,Escalier,0,"Saint-Denis - Pleyel",73753
69677,14,"Entrée / Sortie",50149941,Avant,3,8,Ascenseur,0,"Saint-Denis - Pleyel",73753
490784,14,"23 rue Pleyel",50149984,Arrière,6,8,Escalator,0,"Saint-Denis - Pleyel",
490779,11,"bd du Gén. Leclerc",50210356,Avant,2,5,Escalator,1,Châtelet,71909
71311,9,République,,Milieu,3,5,,1,"Mairie de Montreuil",71803
73633,8,Strasbourg-Saint-Denis,,Arrière,5,5,,0,Balard,71320
71940,2,Jaurès,,Arrière,4,5,Ascenseur,0,Nation,71893
415852,1,"Hôtel de Ville",,Avant,1,6,,0,"Château de Vincennes",71222
71434,2,"Gare du Nord",,Avant,1,5,,1,"Porte Dauphine",71426
71359,7,"Gare de l'Est (Verdun)",,Milieu,3,5,,0,"La Courneuve - 8 Mai 1945",474149
71403,2,Villiers,,Arrière,5,5,,1,"Porte Dauphine",73671
71298,8,Concorde,,Arrière,5,5,,0,Balard,71274
71673,1,Nation,,Milieu,3,6,,1,"La Défense",71654
73633,9,Strasbourg-Saint-Denis,,Arrière,5,5,,0,"Pont de Sèvres",71320
73618,10,Odéon,,Arrière,5,5,,1,"Gare d'Austerlitz",73619
71139,4,Montparnasse-Bienvenue,,Avant,1,6,,0,"Porte de Clignancourt",71184
71311,11,République,,Arrière,4,5,,0,Rosny-Bois-Perrier,71840
71033,6,"Place d'Italie",,Milieu,3,5,,0,Nation,71043
71434,2,Magenta,,Milieu,3,5,,1,"Porte Dauphine",71426
73690,9,Saint-Lazare,,Arrière,5,5,,0,"Pont de Sèvres",71346
71511,12,Marcadet-Poissonniers,,Arrière,5,5,,1,"Mairie d'Aubervilliers",71510
71410,5,"Paris Gare du Nord",,Milieu,3,5,Escalator,1,"Place d'Italie",71359
71264,4,"Châtelet - Les Halles",,Milieu,3,6,,0,"Porte de Clignancourt",73794
71347,2,"Charles de Gaulle - Etoile",,Avant,1,5,,1,"Porte Dauphine",71315
71337,3,Auber,,Milieu,3,5,,1,"Pont de Levallois - Bécon",482368
71264,11,"Châtelet - Les Halles",,Avant,1,5,,1,Châtelet,
71264,1,"Châtelet - Les Halles",,Arrière,6,6,,1,"La Défense",73630
73626,14,"Gare de Lyon",,Arrière,6,8,Ascenseur,0,"Saint-Denis - Pleyel",71264
71322,5,"19 boulevard de Magenta",50147739,Avant,1,5,,1,"Place d'Italie",71311
72486,5,"Mc 93 Maison de la Culture",50147747,Arrière,5,5,,1,"Place d'Italie",72039
71359,4,"5 rue du 8 Mai 1945",50147775,Avant,2,6,,1,"Bagneux - Lucie Aubrac",71333
71426,2,"1 Bd de Rochechouart",50147785,Avant,1,5,,1,"Porte Dauphine",71419
71264,4,"Rue de la Lingerie",50147790,Milieu,3,6,,0,"Porte de Clignancourt",73794
71264,1,"8 place Sainte-Opportune",50147793,Avant,2,6,,0,"Château de Vincennes",415852
71264,14,"8 place Sainte-Opportune",50147793,Avant,2,8,,1,"Aéroport d'Orly",73626
71264,1,"55 rue de Rivoli",50147794,Arrière,6,6,,1,"La Défense",73630
71264,7,"112 rue deRivoli",50147795,Arrière,5,5,,1,"Villejuif - Louis Aragon",71217
71264,14,"112 rue deRivoli",50147795,Arrière,7,8,,0,"Saint-Denis - Pleyel",73788
71264,4,"Rue des Lavandières",50147796,Arrière,6,6,,0,"Porte de Clignancourt",73794
71202,4,"69 rue de Rennes",50147800,Avant,1,6,,0,"Porte de Clignancourt",71216
73620,4,"Place Saint-Michel",50147811,Arrière,6,6,Ascenseur,0,"Porte de Clignancourt",71223
71117,4,"103 boulevard du Montparnasse",50147831,Arrière,5,6,Escalator,1,"Bagneux - Lucie Aubrac",71088
71088,4,"233 boulevard Raspail",50147857,Arrière,6,6,,1,"Bagneux - Lucie Aubrac",71056
73617,3,"1 rue de Madrid",50147866,Milieu,3,5,,1,"Pont de Levallois - Bécon",71403
425779,1,"70 avenue Charles de Gaulle",50147962,Avant,1,6,,1,"La Défense",71442
71305,1,"Clémenceau (place)",50147971,Avant,1,6,,1,"La Défense",71318
71297,7,"Place du Palais-Royal",50147990,Arrière,4,5,,1,"Villejuif - Louis Aragon",71253
71634,1,"Château de Vincennes",50147998,Arrière,6,6,,1,"La Défense",71650
71197,6,"Boulevard de Grenelle",50148028,Arrière,5,5,,0,Nation,71199
71614,8,"6 Place Félix Eboué",50148045,Arrière,5,5,,0,Balard,71631
73650,6,"34 boulevard de Picpus",50148050,Avant,1,5,,0,Nation,71639
71673,2,"Place de la Nation",50148054,Arrière,5,5,,0,Nation,
73696,7,"54 avenue Jean Jaurès",50148063,Avant,2,5,,0,"La Courneuve - 8 Mai 1945",
72460,7,"144 avenue de la République",50148072,Milieu,3,5,,1,"Villejuif - Louis Aragon",72430
474149,7,"188 rue du Faubourg Saint-Martin",50148090,Arrière,5,5,,1,"Villejuif - Louis Aragon",71359
71201,7,"12 boulevard Henri IV",50148112,Avant,1,5,,1,"Villejuif - Louis Aragon",71148
70537,7,"1 bis rue Pierre Curie",50148140,Arrière,5,5,,0,"La Courneuve - 8 Mai 1945",70636
70488,7,"Centre Commercial",50148142,Arrière,5,5,,1,"Mairie d'Ivry",
71073,8,"10 boulevard Victor",50148154,Arrière,5,5,,0,Balard,
71137,8,"Place Félix Faure",50148164,Avant,1,5,,1,"Pointe du Lac",71132
71311,9,République,,Avant,1,5,,1,"Mairie de Montreuil",71803
73689,7,"Chaussée d'Antin (La Fayette)",,Milieu,3,5,,1,"Villejuif - Louis Aragon",71337
71311,5,République,,Milieu,3,5,,1,"Place d'Italie",71803
73690,9,Saint-Lazare,,Arrière,5,5,,0,"Pont de Sèvres",71346
71673,2,Nation,,Milieu,3,5,,1,"Porte Dauphine",71697
71324,12,Madeleine,,Arrière,5,5,,1,"Mairie d'Aubervilliers",71370
71961,2,Stalingrad,,Arrière,5,5,,1,"Porte Dauphine",71434
71940,5,Jaurès,,Avant,1,5,,1,"Place d'Italie",71961
71274,13,Invalides,,Arrière,5,5,,0,"Châtillon - Montrouge",71232
71139,12,Montparnasse-Bienvenue,,Arrière,5,5,,1,"Mairie d'Aubervilliers",71138
71311,3,République,,Avant,1,5,,1,"Pont de Levallois - Bécon",71296
71370,14,Saint-Lazare,,Avant,3,8,,0,"Saint-Denis - Pleyel",71475
71808,3B,Gambetta,,Arrière,3,3,,0,"Porte des Lilas",71828
71264,14,Châtelet,,Arrière,6,8,Escalator,0,"Saint-Denis - Pleyel",73788
71337,7,Opéra,,Avant,1,5,,0,"La Courneuve - 8 Mai 1945",73689
71337,7,Opéra,,Arrière,5,5,,1,"Villejuif - Louis Aragon",73788
71787,2,Père-Lachaise,,Avant,1,5,,1,"Porte Dauphine",71815
71347,2,"Charles de Gaulle - Etoile",,Avant,1,5,,1,"Porte Dauphine",71315
482368,9,Auber,,Avant,1,5,,0,"Pont de Sèvres",73690
71337,3,Auber,,Avant,1,5,,0,Gallieni,71313
73626,14,"Gare de Lyon",,Avant,1,8,Escalator,1,"Aéroport d'Orly",71607
463564,1,"Boulevard Richard Lenoir",50147742,Avant,1,6,,1,"La Défense",71222
72039,5,"7 rue de Paris",50147750,Avant,2,5,,1,"Place d'Italie",72024
71359,5,"Rue du Faubourg Saint-Martin",50147777,Avant,2,5,,0,"Bobigny - Pablo Picasso",71410
71203,12,"Square Boucicaut",50148445,Avant,1,5,,0,"Mairie d'Issy",73640
461505,13,"r. de l'Avenir",50148469,Avant,1,5,,0,"Châtillon - Montrouge",
71370,13,"2 rue d'Amsterdam",50148491,Arrière,4,5,Escalator,0,"Châtillon - Montrouge",71346
71528,13,"86 avenue de Saint-Ouen",50148497,Avant,1,5,,1,"Saint-Denis - Université",72078
72168,13,"Place de la République",50148508,Avant,1,5,,0,"Châtillon - Montrouge",72128
71545,14,"125 boulevard Bessières",50148515,Avant,3,8,Escalator,1,"Aéroport d'Orly",71475
72203,13,"56 avenue Gabriel Péri",50148521,Avant,2,5,Escalator,1,"Asnières - Gennevilliers - Les Courtilles",72240
71347,2,"Avenue Foch",50148551,Milieu,3,5,,0,Nation,71367
71347,6,"6 avenue Carnot",50148553,Arrière,5,5,,1,"Charles de Gaulle - Étoile",
71475,14,"Rue Cardinet",50148654,Arrière,7,8,Ascenseur,0,"Saint-Denis - Pleyel",71545
71311,5,République,,Milieu,3,5,,1,"Place d'Italie",71803
482368,9,Havre-Caumartin,,Avant,1,5,,0,"Pont de Sèvres",73690
71654,8,Reuilly-Diderot,,Avant,1,5,,0,Balard,74001
71305,13,Champs-Elysées-Clémenceau,,Milieu,3,5,,1,"Asnières - Gennevilliers - Les Courtilles",71346
71347,2,"Charles de Gaulle-Etoile",,Avant,2,5,Escalator,1,"Porte Dauphine",71315
71410,4,"La Chapelle",,Milieu,3,6,,0,"Porte de Clignancourt",71426
71139,6,Montparnasse-Bienvenue,,Arrière,5,5,,1,"Charles de Gaulle - Étoile",71125
71370,13,Saint-Augustin,,Arrière,5,5,,1,"Asnières - Gennevilliers - Les Courtilles",71382
71346,9,Miromesnil,,Arrière,5,5,,1,"Mairie de Montreuil",73690
71940,2,Jaurès,,Arrière,5,5,,0,Nation,71893
71940,7B,Jaurès,,Arrière,2,3,,1,"Louis Blanc",71407
