route_id;route_long_name;stop_id;stop_name;OperatorName;ArRTown;ArRPostalRegion;stop_Geopoint;ArRXEpsg2154;ArRYEpsg2154;shortName;bookingRules;mode;Pointgeo;Nom_commune;Code_insee;Extensions;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns
IDFM:C01098;62;IDFM:24000;Michel-Ange - Varize;Keolis Grand Paris Seine Orly;Paris 16e;75116;48.840971940769634, 2.2585974037045133;645585;6860358;62;;Bus;48.84097194078334, 2.258597403704514;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01098:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";partial;unknown;unknown
IDFM:C01099;63;IDFM:37722;Pont Alexandre III;RATP;Paris 7e;75107;48.8629525895873, 2.3144446109227568;649705;6862765;63;;Bus;48.86295258960096, 2.3144446109227568;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01099:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01102;66;IDFM:22718;Gare Saint-Lazare;RATP Cap Boucle Nord de Seine;Paris 8e;75108;48.87513305423861, 2.324523577495512;650456;6864113;66;;Bus;48.87513305425223, 2.324523577495512;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01102:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01102;66;IDFM:34173;Rome - Batignolles;RATP Cap Boucle Nord de Seine;Paris 8e;75108;48.881748838497245, 2.320756063299136;650186;6864851;66;;Bus;48.88174883851085, 2.3207560632991364;Paris;75056;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01102:"", ""@version"": ""any"", ""ClimateControlList"": ""other""}}";true;unknown;unknown
IDFM:C01294;341;IDFM:27004;Victor Hugo - Sanzillon;RATP;Clichy;92024;48.903831056191365, 2.319840398873429;650140;6867307;341;;Bus;48.90383105620492, 2.319840398873429;Clichy;92024;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01294:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
IDFM:C01295;346;IDFM:39823;Brément - Général de Gaulle;Transdev Ourcq;Noisy-le-Sec;93053;48.88730421637532, 2.471880234675473;661273;6865384;346;;Bus;48.88730421638891, 2.471880234675473;Noisy-le-Sec;93053;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01295:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";unknown;unknown;unknown
IDFM:C01295;346;IDFM:19119;Hôtel de Ville;Transdev Ourcq;Le Blanc-Mesnil;93007;48.93801349255281, 2.4613323057143326;660538;6871028;346;;Bus;48.938013492566306, 2.4613323057143326;Le Blanc-Mesnil;93007;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01295:"", ""@version"": ""any"", ""ClimateControlList"": ""airConditioning""}}";false;unknown;unknown
IDFM:C01298;350;IDFM:39269;Rue des Rossignols;Transdev Express Roissy;Tremblay-en-France;93073;48.99141714049045, 2.526737216590573;665365;6876936;350;;Bus;48.99141714050381, 2.526737216590573;Tremblay-en-France;93073;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01298:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";false;unknown;unknown
IDFM:C01298;350;IDFM:470644;Rue des Vignes;Transdev Express Roissy;Roissy-en-France;95527;49.004528515679944, 2.547926018101929;666924;6878385;350;;Bus;49.00452851569328, 2.547926018101929;Roissy-en-France;95527;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01298:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";partial;false;false
IDFM:C01299;351;IDFM:36516;Paul Renaud;Transdev Express Roissy;Bondy;93010;48.91076947530497, 2.480646739224626;661933;6867989;351;;Bus;48.91076947531852, 2.4806467392246265;Bondy;93010;"{""ServiceFacilitySet"": {""@id"": ""FR1:ServiceFacilitySet:C01299:"", ""@version"": ""any"", ""ClimateControlList"": ""noConditioning""}}";true;unknown;unknown
