commerce;identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR FERMETURE;DEA_RUE   _LIVRAISON;DEA_CP_  LIVRAISON;DEA_COMMUNE_LIVRAISON;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;geocodage_ban
café tabac;510618;Comptoir des Frangin;;82 Rue du Chateau;92100;Boulogne-Billancourt;;;;;;;;48.842954, 2.243525
tabac presse;510650;Tabac - Presse;;54 Rue Marcel Bontemps;92100;Boulogne-Billancourt;;;;;;;;48.826882, 2.238973
café tabac;530315;Le Commerce;;56 Avenue du Général Leclerc;92340;Bourg-la-Reine;;;;;;;;48.782044, 2.316346
café tabac;520510;Tabac Le Balto;dimanche;190 Boulevard de Stalingrad;94500;Champigny-sur-Marne;;;;;;;;48.823863, 2.496405
tabac loto;520643;Tabac Bord de Marne;jeudi;181 Rue Diderot;94500;Champigny-sur-Marne;;;;;;;;48.812839, 2.501575
tabac;520714;Tabac du Bois l'Abbé;;2 Place Rodin;94500;Champigny-sur-Marne;;;;;;;;48.80678, 2.550182
café tabac;530447;Le Mogador;;197 Rue de Paris;94220;Charenton-le-Pont;;;;;;;;48.828913, 2.401924
café tabac;530579;L' aubrac;dimanche;1 Avenue du Maréchal de Lattre de Tassigny;94220;Charenton-le-Pont;;;;;;;;48.818551, 2.419547
café tabac;510631;Tabac de la Paix;;766 Avenue Roger Salengro;92370;Chaville;;;;;;;;48.814494, 2.192804
tabac presse;540515;Le Muguet;dimanche;1494 Avenue Roger Salengro;92370;Chaville;;;;;;;;48.809259, 2.188307
tabac librairie;530554;Le Calumet;;36 Avenue Mazarin Cccial de Bel Abord;91380;Chilly-Mazarin;;;;;;;;48.707608, 2.316295
café tabac;530510;Le Clémenceau;;36 Rue Georges Clémenceau;94600;Choisy-le-Roi;;;;;;;;48.766548, 2.404576
tabac loto;510690;Tabac le Fleury;;82 Avenue Henry Barbusse;92140;Clamart;;;;;;;;48.81137, 2.258306
café tabac;510229;Tabac de la Mairie;dimanche;83 Boulevard Jean Jaurès;92110;Clichy;;;;;;;;48.902304, 2.304219
tabac presse;520370;Tabac  Marronniers;dimanche;4 Allée de Gagny;93390;Clichy-sous-Bois;;;;;;;;48.900082, 2.546837
café tabac;510353;Le Mondial;dimanche;8 Place Louis Aragon;92700;Colombes;;;;;;;;48.915136, 2.229239
café tabac;510417;Tabac de la Gare;lundi;9 Avenue de l'Agent Sarre;92700;Colombes;;;;;;;;48.923883, 2.259987
café tabac;510719;Le Baraka;dimanche;83 Avenue de la République;92400;Courbevoie;;;;;;;;48.771076, 2.256731
tabac presse;540217;Tabac Le Vinci;dimanche;17 Avenue Léonard de Vinci;92400;Courbevoie;;;;;;;;48.896586, 2.235843
tabac presse;530396;Tabac - Presse;;8 Boulevard Montaigut;94000;Créteil;;;;;;;;48.791098, 2.445051
café tabac;530560;Halle de Presse;dimanche;12 Allée du Commerce;94000;Créteil;;;;;;;;48.778145, 2.472494
café tabac;520624;Le Celtique;;23 Rue de la Gare;95170;Deuil-la-Barre;;;;;;;;48.975436, 2.334299
café tabac;520455;Le Celtique;dimanche;1 Boulevard  Paul Vaillant-Couturier;93700;Drancy;;;;;;;;48.923456, 2.446101
presse;540346;Maison De La Presse;jeudi;95 Avenue Henri Barbusse;93700;Drancy;;;;;;;;48.918408, 2.448161
tabac loto;510445;Le Cygne d'Enghien;lundi;132 Avenue Joffre;93800;Épinay-sur-Seine;;;;;;;;48.96171, 2.295435
tabac librairie;510709;Presse L'Obélisque;;15 Impasse du Noyer Bossu;93800;Épinay-sur-Seine;;;;;;;;48.956257, 2.299605
tabac presse;530409;ALPHA;dimanche;22 Rue Boucicaut;92260;Fontenay-aux-Roses;;;;;;;;48.790447, 2.290282
café tabac;530588;Fontaine aux Roses;;110 Rue Boucicaut;92260;Fontenay-aux-Roses;;;;;;;;48.793387, 2.284479
tabac presse;530599;Tabac de la Paix;mercredi;43 Avenue de la Paix;94260;Fresnes;;;;;;;;48.759995, 2.329648
café tabac;510050;Tabac du Golf;dimanche;79 Rue du 19 Janvier;92380;Garches;;;;;;;;48.851344, 2.191658
café tabac;540598;Les Maréchaux;dimanche;2 Avenue Joffre;92380;Garches;;;;;;;;48.83881, 2.186442
tabac;601652;la Libération;;8 Avenue de la Libération;92230;Gennevilliers;;;;;;;;48.924596, 2.291275
café tabac;510712;Le Havane;;63 Av. des Grésillons;92230;Gennevilliers;;;;;;;;48.915215, 2.30178
tabac presse;520716;Tabac de La Fauconnière;;19 Place Marc Sangnier;95500;Gonesse;;;;;;;;49.002207, 2.422878
tabac presse;520732;Tabac Presse Grande Vallée;;1 Avenue Georges Pompidou;95500;Gonesse;;;;;;;;48.989772, 2.43163
civette;510296;Le Fumoir;;4 Place Paul Vaillant-Couturier;92130;Issy-les-Moulineaux;;;;;;;;48.826864, 2.278794
tabac;510540;Espace Tabac;;19 Rue Jean-Pierre Timbaud;92130;Issy-les-Moulineaux;;;;;;;;48.819622, 2.249917
tabac loto;530557;Le Mokaffé;dimanche;125 Boulevard Paul Vaillant-Couturier;94200;Ivry-sur-Seine;;;;;;;;48.814879, 2.401901
café tabac;530564;Le Longchamps;jeudi;34 Avenue de Verdun;94200;Ivry-sur-Seine;;;;;;;;48.812904, 2.370176
café tabac;540543;Le Balto;dimanche;3 Rue Pierre Curie;94200;Ivry-sur-Seine;;;;;;;;48.81545, 2.376169
tabac loto;520579;Le Joinville;dimanche;3 Avenue Jean Jaurès;94340;Joinville-le-Pont;;;;;;;;48.820917, 2.4644
tabac loto;520434;Tabac des 4 Routes;;52 Avenue Paul Vaillant-Couturier;93120;La Courneuve;;;;;;;;48.920455, 2.41071
café tabac;540336;Tabac Le Muratti;dimanche;2 Avenue Jean Mermoz;93120;La Courneuve;;;;;;;;48.931866, 2.399545
café tabac;530642;Tabac le Jean Bart;7;81 Avenue de Fontainebleau;94270;Le Kremlin-Bicêtre;;;;;;;;48.810469, 2.362386
tabac;520015;Tabac de l'Avenue;dimanche;48 Boulevard de la Liberté;94170;Le Perreux-sur-Marne;;;;;;;;48.835513, 2.497595
café tabac;510259;Le Celtique;lundi;5 Rue du Tour de L'Étang;92350;Le Plessis-Robinson;;;;;;;;48.783913, 2.270148
café tabac;520483;Le Jean Bart;;159 Rue de Paris;93260;Les Lilas;;;;;;;;48.880568, 2.41853
civette;520638;Le Calumet;;76 Rue de Paris;93260;Les Lilas;;;;;;;;48.879169, 2.414262
café tabac;540007;Le Royal;lundi;40 Boulevard du Général Leclerc;93260;Les Lilas;;;;;;;;48.88089, 2.425174
café tabac;510038;L'Ariel;dimanche;62 Rue Baudin;92300;Levallois-Perret;;;;;;;;48.897995, 2.284999
café tabac;510356;Tabac du Marché;mercredi;31 Rue Carnot;92300;Levallois-Perret;;;;;;;;48.890283, 2.287947
café tabac;530063;Le Dispan;dimanche;3 Rue Dispan;94240;L'Haÿ-les-Roses;;;;;;;;48.778991, 2.338626
café tabac;510673;Tabac Pont de Limay;;30 Rue Nationale;78520;Limay;;;;;;;;48.994391, 1.729129
tabac;520571;La Civette de Chanzy;dimanche;4 Boulevard  de Chanzy;93190;Livry-Gargan;;;;;;;;48.908587, 2.517988
café tabac;530036;Au Petit Caporal;dimanche;1 Rue Eugène Renault;94700;Maisons-Alfort;;;;;;;;48.815207, 2.420045
café tabac;530603;Le Condorcet;;230 Avenue de la République;94700;Maisons-Alfort;;;;;;;;48.809941, 2.455566
café tabac;530625;Tabac Le Chiquito;dimanche;61 Avenue du Général de Gaulle;94700;Maisons-Alfort;;;;;;;;48.802102, 2.429833
presse;540402;Librairie Malakoff;dimanche;59 Avenue Pierre Larousse;92240;Malakoff;;;;;;;;48.821701, 2.304275
café tabac;530589;Tabac Horizon 3000;;1 Avenue de L'Europe (CCcial Cora);91300;Massy;;;;;;;;48.726133, 2.278563
tabac librairie;510170;Les Tilleuls;dimanche;13 Place de Stalingrad;92190;Meudon;;;;;;;;48.814597, 2.234842
tabac presse;510607;Tabac Saint Exupéry;mercredi;8 Rue Saint-Exupéry;92360;Meudon-La-Forêt;;;;;;;;48.789234, 2.226652
café tabac;520606;Le Dragon de Havane;dimanche;246 Boulevard  Aristide Briand;93100;Montreuil;;;;;;;;48.87737, 2.45704
café tabac;530499;Le Rond Point;;18 Place Jean Jaures;92120;Montrouge;;;;;;;;48.816049, 2.311218
café tabac;510199;Le Fontenoy;dimanche;36 Rue Henri Barbusse;92000;Nanterre;;;;;;;;48.890455, 2.195057
tabac presse;510543;Ets la Source;dimanche;1 Rue de la Source;92000;Nanterre;;;;;;;;48.886465, 2.20549
tabac librairie;510676;Le Clémenceau;;276 Avenue Georges Clémenceau;92000;Nanterre;;;;;;;;48.885477, 2.219781
tabac presse;520047;Virgule;dimanche;3 Rue des Renouillères;93360;Neuilly-Plaisance;;;;;;;;48.865455, 2.510732
café tabac;520104;Tabac de La Poste;dimanche;46 Avenue du Maréchal Foch;93360;Neuilly-Plaisance;;;;;;;;48.861861, 2.506054
café tabac;520660;Le Petit Foch;dimanche;86 Avenue du Maréchal Foch;93360;Neuilly-Plaisance;;;;;;;;48.860446, 2.511368
café tabac;520541;Civette de la Mairie;dimanche;10 Place du Chamoine Héroux;93330;Neuilly-sur-Marne;;;;;;;;48.856072, 2.532402
café tabac;510707;Volutes du Chateau;;6 Rue du Chateau;92200;Neuilly-sur-Seine;;;;;;;;48.885992, 2.261314
tabac loto;520416;Tabac du Marché;lundi;56 Rue des Héros Nogentais;94130;Nogent-sur-Marne;;;;;;;;48.838326, 2.487239
tabac loto;520576;Tabac Le Brazza;lundi;186 Grande Rue Charles De Gaulle;94130;Nogent-Sur-Marne;;;;;;;;48.838207, 2.493044
tabac presse;520710;Tabac Stephensen;dimanche;2 Square Stephenson;93130;Noisy-le-Sec;;;;;;;;48.887225, 2.462915
café tabac;530572;Le St-Exupéry;dimanche;14 Voie des Saules;94310;Orly;;;;;;;;48.746842, 2.415416
café tabac;530593;Tabac de La Gare;;7 Place du 8 Mai 1945;94310;Orly;;;;;;;;48.741852, 2.402156
café tabac;530356;Le Concorde;;19-21 Boulevard de Fontainebleau;91550;Paray-Vieille-Poste;;;;;;;;48.708611, 2.371035
café tabac;530169;Le Petit Flore;dimanche;6 Rue des Petits-Champs;75001;Paris;;;;;;;;48.862541, 2.339471
tabac librairie;540528;Tabac des Petits C;dimanche;43 Rue des Petits-Champs;75001;Paris;;;;;;;;48.866904, 2.33599
café tabac;520737;Tabac Le Brelan;;58 Rue Beaubourg;75003;Paris;;;;;;;;48.863051, 2.35463
café tabac;540570;Le Progrès;dimanche;1 Rue de Bretagne;75003;Paris;;;;;;;;48.861972, 2.364105
tabac loto;520626;Tabac Notre Dame;;3 Rue Lagrange;75005;Paris;;;;;;;;48.851935, 2.34812
café tabac;530201;Café Lilou;dimanche;62 Boulevard du Port Royal;75005;Paris;;;;;;;;48.837786, 2.345725
café tabac;530206;Tabac Alfa;dimanche;40 Rue Monge;75005;Paris;;;;;;;;48.845674, 2.351816
café tabac;530280;Le Monge;lundi;77 Rue Monge;75005;Paris;;;;;;;;48.8429, 2.352318
café tabac;540668;Collège de France;dimanche;21 Rue Jean de Beauvais;75005;Paris;;;;;;;;48.848952, 2.346627
café tabac;540669;La Fontaine St Miche;;3 Boulevard Saint-Michel;75005;Paris;;;;;;;;48.85284, 2.344083
tabac loto;530470;Tabac WEN;dimanche;20 Rue Littré;75006;Paris;;;;;;;;48.844783, 2.324193
civette;530586;Civette Rennes;;111 Rue de Rennes;75006;Paris;;;;;;;;48.848436, 2.328428
tabac presse;540358;Tabac-Presse-Loto;dimanche;78 Rue de Seine;75006;Paris;;;;;;;;48.851622, 2.336967
café tabac;530319;Café de l'Université;dimanche;151 Rue de l'Université;75007;Paris;;;;;;;;48.861069, 2.305315
civette;510335;Elysée;dimanche;5 Rue de Miromesnil;75008;Paris;;;;;;;;48.87162, 2.316
café tabac;510575;Saint Philippe Roule;dimanche;68 Rue de la Boétie;75008;Paris;;;;;;;;48.873111, 2.311245
café tabac;510695;Tabac du Rocher;dimanche;91 Rue du Rocher;75008;Paris;;;;;;;;48.880828, 2.316856
café tabac;510267;L'Energie;dimanche;65 Rue de Maubeuge;75009;Paris;;;;;;;;48.879704, 2.349299
café tabac;510703;La Royale;dimanche;165 Rue du Faubourg Poissonnière;75009;Paris;;;;;;;;48.881271, 2.349718
café tabac;510727;Le Dunhill;dimanche;38 Rue de Rochechouart;75009;Paris;;;;;;;;48.879081, 2.345656
café tabac;510561;Tabac de l'Est;dimanche;72 Boulevard de Strasbourg;75010;Paris;;;;;;;;48.875352, 2.357982
café tabac;520245;La Consigne;;10 Rue du 8 Mai 1945;75010;Paris;;;;;;;;48.876451, 2.356982
café tabac;520702;Tabac Alexandre;;179 Quai de Valmy;75010;Paris;;;;;;;;48.880193, 2.367085
café tabac;540276;Le Reilhac;mardi;63 Rue du Faubourg Saint-Denis;75010;Paris;;;;;;;;48.872334, 2.353964
tabac loto;540661;Habanos;dimanche;32 Boulevard Richard Lenoir;75011;Paris;;;;;;;;48.856908, 2.371274
café tabac;510556;Le Dugommier;dimanche;240 Rue du Charenton;75012;Paris;;;;;;;;48.838484, 2.389624
café tabac;520195;Le Rallye;dimanche;82 Rue du Faubourg Saint-Antoine;75012;Paris;;;;;;;;48.851471, 2.374946
café tabac;520412;Les Arcades;dimanche;68 Avenue Daumesnil;75012;Paris;;;;;;;;48.844809, 2.380123
tabac loto;520537;Tabac Le Reinit;;116 Cours de Vincennes;75012;Paris;;;;;;;;48.846735, 2.41023
tabac presse;520617;Tabac Soult;;76 Boulevard  Soult;75012;Paris;;;;;;;;48.844769, 2.410778
tabac loto;520641;La Civette Daumesnil;dimanche;242 Avenue Daumesnil;75012;Paris;;;;;;;;48.837148, 2.401605
café tabac;520657;Dido Café;;113 Rue de Charenton;75012;Paris;;;;;;;;48.846648, 2.378825
café tabac;520671;Le Gavroche;;49 Boulevard  de Reuilly;75012;Paris;;;;;;;;48.839605, 2.394231
café tabac;520712;Le Résident;dimanche;51 Boulevard Soult;75012;Paris;;;;;;;;48.839075, 2.408326
café tabac;540562;La Terrasse;dimanche;1 Place Lachambeaudie;75012;Paris;;;;;;;;48.835917, 2.386052
presse;530159;Journaux - Presse;dimanche;215 Rue de Tolbiac;75013;Paris;;;;;;;;48.825583, 2.346907
librairie;530192;Librairie Blanqui 13;dimanche;85 Boulevard Auguste Blanqui;75013;Paris;;;;;;;;48.829837, 2.346959
café tabac;530382;Pourquoi Pas;;136 Avenue d'Italie;75013;Paris;;;;;;;;48.823262, 2.357884
tabac loto;530466;Le Tabarium;dimanche;27 Avenue des Gobelins;75013;Paris;;;;;;;;48.836478, 2.352393
tabac loto;530515;La Tabacase;;30 Avenue d' Italie;75013;Paris;;;;;;;;48.829238, 2.35603
tabac;530627;Tabac Store 65;dimanche;65 Boulevard Kellerman;75013;Paris;;;;;;;;48.820547, 2.350003
café tabac;540545;Le Rallye;dimanche;64 Rue de Tolbiac;75013;Paris;;;;;;;;48.827404, 2.368601
café tabac;530446;Le 7 ème Art;;84 Rue Raymond Losserand;75014;Paris;;;;;;;;48.833376, 2.316929
café tabac;530486;Le Marigny;dimanche;92 Rue Didot;75014;Paris;;;;;;;;48.828228, 2.315696
tabac loto;530495;Le bardinet;;179 Rue d' Alésia;75014;Paris;;;;;;;;48.831011, 2.317249
tabac loto;530496;Tabac du lion;;5 Avenue du Général Leclerc;75014;Paris;;;;;;;;48.833119, 2.331705
tabac loto;530528;La Civette 14;dimanche;141 Rue Raymond Losserand;75014;Paris;;;;;;;;48.831485, 2.31371
tabac loto;510597;Tabac la Place;;8 Place Falguière;75015;Paris;;;;;;;;48.836076, 2.310314
tabac loto;510644;T & Time;;37 Boulevard Victor;75015;Paris;;;;;;;;48.834123, 2.285316
tabac loto;510706;L'Etincelle;dimanche;294 Rue Lecourbe;75015;Paris;;;;;;;;48.838085, 2.28719
café tabac;510730;Tabac Les Volutes;dimanche;114 Rue de la Convention;75015;Paris;;;;;;;;48.840891, 2.288103
café tabac;510732;Le P'ti Bistrot;dimanche;52 Rue Saint Lambeer;75015;Paris;;;;;;;;48.83649, 2.292978
tabac presse;510522;Plum2000;dimanche;174 Rue de la Pompe;75016;Paris;;;;;;;;48.870864, 2.283375
civette;540627;Le Tabac du Terminus;dimanche;8 Place de la Porte de Saint-Cloud;75016;Paris;;;;;;;;48.838429, 2.257576
café tabac;510324;Le Voltigeur;dimanche;118 Boulevard  Berthier;75017;Paris;;;;;;;;48.888805, 2.300828
tabac;510646;Tabac le Niel;;42 Rue Pierre Demours;75017;Paris;;;;;;;;48.881441, 2.295126
tabac loto;510444;Tabac le Nazir;;56 Rue des Abbesses;75018;Paris;;;;;;;;48.885772, 2.335245
café tabac;510464;Le Vizir;;173 Rue Ordener;75018;Paris;;;;;;;;48.893417, 2.337194
café tabac;510558;Tabac Royal Moulin;;16 Rue de Clignancourt;75018;Paris;;;;;;;;48.884877, 2.347349
tabac presse;510600;Tabac La Comète;;50 Rue Marx Dormoy;75018;Paris;;;;;;;;48.887742, 2.360017
tabac presse;510610;La Civette des Arts;;62 Rue Damrémont;75018;Paris;;;;;;;;48.890683, 2.334498
café tabac;510622;Le Celtic;;104 Avenue de Saint-Ouen;75018;Paris;;;;;;;;48.89418, 2.328007
café tabac;540247;Le Clignancourt;vendredi;79 Boulevard Ornano;75018;Paris;;;;;;;;48.897292, 2.344361
café tabac;540308;La Renaissance;;188 Rue Ordener;75018;Paris;;;;;;;;48.894179, 2.333124
tabac loto;520474;Tabac La Gitane;;3 Rue Lassus;75019;Paris;;;;;;;;48.875275, 2.389018
café tabac;520580;Tabac La Lorraine;mercredi;127 Avenue Jean Jaures;75019;Paris;;;;;;;;48.886403, 2.382719
tabac;520645;Tabac Civette Brunet;mercredi;2 Avenue de la Porte Brunet;75019;Paris;;;;;;;;48.883232, 2.395447
tabac loto;520695;Le Calumet;;9 Avenue Secrétan;75019;Paris;;;;;;;;48.882179, 2.371343
café tabac;520722;Village des Fêtes;;15/17 Rue Henri Ribière;75019;Paris;;;;;;;;48.877266, 2.395422
civette;520009;Tabac d'Eden;dimanche;82 Boulevard de Belleville;75020;Paris;;;;;;;;48.869974, 2.3798
tabac loto;520233;Le Capitole;dimanche;269 Rue des Pyrénées;75020;Paris;;;;;;;;48.867341, 2.396401
tabac loto;520618;Le Narval;;235 Rue des Pyrénées;75020;Paris;;;;;;;;48.863904, 2.399089
café tabac;520628;Le Marigny;;298 Rue des Pyrénées;75020;Paris;;;;;;;;48.872121, 2.391876
café tabac;520708;Tabac Krys;dimanche;54 Rue de Bagnolet;75020;Paris;;;;;;;;48.857285, 2.399014
café tabac;520734;Le Chiquito;;38 Rue Levert;75020;Paris;;;;;;;;48.875254, 2.392518
café tabac;510067;Le Diplomate;dimanche;117 Rue Jean Jaurès;92800;Puteaux;;;;;;;;48.881053, 2.238199
café tabac;520003;Tabac de la Mairie;mercredi;3 Rue de Paris;93230;Romainville;;;;;;;;48.884242, 2.432417
café tabac;520560;Le Café de la Gare;samedi;22 Avenue de la République;93110;Rosny-sous-Bois;;;;;;;;48.870651, 2.484714
tabac loto;520725;Civette Rosny 2;dimanche;2 Avenue du Général de Gaulle (Ccial R2);93110;Rosny-sous-Bois;;;;;;;;48.874461, 2.482428
tabac presse;510641;Tabac de l'Arsenal;dimanche;74 Rue des Bons Raisins;92500;Rueil-Malmaison;;;;;;;;48.872066, 2.198462
tabac loto;510675;Le Tabalire;dimanche;103 Avenue Paul Doumer;92500;Rueil-Malmaison;;;;;;;;48.879666, 2.180355
café tabac;510731;Le Richelieu;dimanche;53 Rue haute;92500;Rueil-Malmaison;;;;;;;;48.87381, 2.181882
café tabac;520327;Au Diplomate;dimanche;68 Rue Gabriel Péri;93200;Saint-Denis;;;;;;;;48.935334, 2.356039
café tabac;520530;Le Fontenoy;jeudi;2 Place du Square Pierre de Geyter;93200;Saint-Denis;;;;;;;;48.93227, 2.352008
café tabac;520677;Au Champs de Courses;;29 Rue Diderot;93200;Saint-Denis;;;;;;;;48.936375, 2.37723
tabac loto;530462;Le Diplomate;;2 Place Jacques Tati;94100;Saint-Maur-des-Fossés;;;;;;;;48.787936, 2.486647
tabac presse;520164;Le Bloch Lainé;dimanche;3 Place Bloch Lainé;95200;Sarcelles;;;;;;;;48.972413, 2.381422
librairie;510528;Librairie des Indes;;6 Place Stendhal (CCIal Carrefour);78500;Sartrouville;;;;;;;;48.94561, 2.195613
tabac loto;510691;La Belle Polle;;21  Grande Rue;92310;Sèvres;;;;;;;;48.826693, 2.220287
tabac presse;510231;Tabac du Théâtre;dimanche;2 Place de Stalingrad;92150;Suresnes;;;;;;;;48.863637, 2.202059
tabac presse;510424;Le Calumet;dimanche;37 Avenue Jean Jaurès;92150;Suresnes;;;;;;;;48.865041, 2.204571
café tabac;510505;Tabac de la Gare;;2 Rue Merlin de Thionville;92150;Suresnes;;;;;;;;48.868099, 2.221934
tabac presse;530033;Le Val Pompadour;dimanche;70 Avenue Henri Barbusse;94460;Valenton;;;;;;;;48.766014, 2.441567
café tabac;530472;La Concorde;lundi;120 Rue d'Estienne d'Orves;91370;Verrières-le-Buisson;;;;;;;;48.742753, 2.261705
tabac presse;530062;Tabac - Presse;dimanche;63 Rue du Moulin de Saquet;94800;Villejuif;;;;;;;;48.790745, 2.371437
café tabac;530626;Le Bergerac;;9 Rue Verollot;94800;Villejuif;;;;;;;;48.805442, 2.369712
café tabac;520682;Bar Monte Christo;samedi;16 Grande Rue;93250;Villemomble;;;;;;;;48.884052, 2.509954
café tabac;520341;Le Royal;dimanche;140 Rue de la Jarry;94300;Vincennes;;;;;;;;48.849811, 2.450741
café tabac;530061;Le Vaillant;dimanche;122 Rue Edouard Vaillant;94140;Alfortville;;;;;;;;48.808117, 2.419049
tabac;530236;Le Centre Ville;dimanche;25 Place Salvador Allende;94140;Alfortville;;;;;;;;48.80526, 2.415105
café tabac;530541;Tabac de la Gare;dimanche;17 Avenue Malleret Joinville;94140;Alfortville;;;;;;;;48.803318, 2.425298
café tabac;530181;La Croix d'Arcueil;dimanche;71 Avenue Aristide Briand;94110;Arcueil;;;;;;;;48.805572, 2.325747
tabac librairie;530193;Le Chaperon Vert;jeudi;14 Avenue  du Chaperon Vert;94110;Arcueil;;;;;;;;48.812723, 2.334461
tabac;540593;Au Bon Tabac;dimanche;20 Rue Émile Raspail;94110;Arcueil;;;;;;;;48.801209, 2.331717
café tabac;510332;Le bistrot;dimanche;34 Avenue du Maréchal Foch;95100;Argenteuil;;;;;;;;48.944885, 2.254934
tabac loto;510427;La Tabatière;;156 Avenue  Jean Jaurès;95100;Argenteuil;;;;;;;;48.940479, 2.224294
tabac loto;510632;Mag Presse;dimanche;25 Route d'Enghien;95100;Argenteuil;;;;;;;;48.95682, 2.283416
café tabac;510671;La Divette;;61 Rue Paul Vaillant-Couturier;95100;Argenteuil;;;;;;;;48.944522, 2.25154
café tabac;510677;Le Brazza;dimanche;41 Rue Antonin Belin;95100;Argenteuil;;;;;;;;48.946296, 2.247581
café tabac;510477;Tabac des Victoires;dimanche;1 Place des Victoires;92600;Asnières-sur-Seine;;;;;;;;48.910796, 2.292031
tabac loto;530617;Le Noyer Renard;jeudi;1 Rue des Froides Bouillies;91200;Athis-Mons;;;;;;;;48.704988, 2.363891
café tabac;520550;Tabac Le Beau Relais;;8 Avenue Jean Jaurès;93300;Aubervilliers;;;;;;;;48.909845, 2.398508
tabac loto;520593;Tabac Presse;;120 Rue Hélène Cochonnec;93300;Aubervilliers;;;;;;;;48.919931, 2.394442
café tabac;540283;Galaxie Millionnaire;dimanche;167 AvenueVictor Hugo;93300;Aubervilliers;;;;;;;;48.911799, 2.379456
café tabac;520521;Le Strasbourg;lundi;1 Boulevard de Strasbourg;93600;Aulnay-sous-Bois;;;;;;;;48.929964, 2.493338
tabac loto;520518;Civette de Bel Est;dimanche;28 Avenue du Général de Gaulle;93170;Bagnolet;;;;;;;;48.865022, 2.416916
café tabac;510421;Le Maryland;;139 Rue Victor Hugo;92270;Bois-Colombes;;;;;;;;48.919315, 2.2675
café tabac;520680;Le Mistral;mercredi;27 Rue Etienne Dolet;93140;Bondy;;;;;;;;48.891583, 2.477744
café tabac;530596;Café de la Mairie;;5 Rue d' Estienne d' Orves;94380;Bonneuil-sur-Marne;;;;;;;;48.774069, 2.487537
presse;510312;Presse;;2 Rondd-Point Rhin et Danube;92100;Boulogne-Billancourt;;;;;;;;48.840817, 2.22921
café tabac;510532;Le Lutétia;dimanche;127 Boulevard Jean Jaurès;92100;Boulogne-Billancourt;;;;;;;;48.836719, 2.241886
tabac loto;510643;Tabac République;;63 Boulevard de la République;92100;Boulogne-Billancourt;;;;;;;;48.832678, 2.248308
tabac loto;520559;Tabac de l' Avenue;lundi;85 Avenue de la République;94500;Champigny-sur-Marne;;;;;;;;48.823016, 2.510333
tabac loto;530130;Tabac Ecole Centrale;dimanche;45352 Avenue de la Division Leclerc;92290;Châtenay-Malabry;;;;;;;;48.764274, 2.268849
café tabac;530263;Café de la Mairie;;1 Rue de la Gare;92320;Châtillon;;;;;;;;48.800194, 2.289496
café tabac;530503;La Tabatière;;80 Avenue Marcellin Bethelot;92320;Châtillon;;;;;;;;48.808607, 2.291581
tabac presse;530584;Le Monde en Marche;;60 Avenue de Paris;92320;Châtillon;;;;;;;;48.806065, 2.292353
tabac loto;530247;Le Marigny;;4 Rue Henri Crette;94550;Chevilly-Larue;;;;;;;;48.771443, 2.355521
café tabac;540084;Tabac de la Tour;dimanche;15 Rue de la Tour;94550;Chevilly-Larue;;;;;;;;48.762184, 2.360419
civette;540079;Civette des Gondoles;mercredi;64 Avenue Victor Hugo;94600;Choisy-le-Roi;;;;;;;;48.768833, 2.421341
café tabac;510244;Au Départ;;251 Avenue Jean Jaurès;92140;Clamart;;;;;;;;48.813429, 2.271821
café tabac;510400;Tabac Le Versailles;dimanche;16 Rue de Versailles;92140;Clamart;;;;;;;;48.782868, 2.247841
café tabac;510015;Le Maryland;dimanche;7 Boulevard Jean Jaurès;92110;Clichy;;;;;;;;48.897225, 2.308644
café tabac;510016;Tabac du Marché;lundi;64 Rue de Neuilly;92110;Clichy;;;;;;;;48.902135, 2.302715
café tabac;510660;Bar le Rallye;dimanche;5 Rue du Landy;92110;Clichy;;;;;;;;48.904527, 2.303428
café tabac;510708;Au Ptit Creux Gourma;dimanche;11 Rue Georges Seurat;92110;Clichy;;;;;;;;48.910314, 2.308632
café tabac;510468;Tabac aux sports;;41 Rue Saint-Denis;92700;Colombes;;;;;;;;48.923802, 2.255976
café tabac;510567;Le  Village;;5 Rue du Bournard;92700;Colombes;;;;;;;;48.923316, 2.25317
café tabac;510608;Le Régence;dimanche;76 Avenue Henri Barbusse;92700;Colombes;;;;;;;;48.917978, 2.252573
café tabac;510603;Le Saint-Claude;;42 Boulevard de Verdun;92400;Courbevoie;;;;;;;;48.899589, 2.261768
tabac loto;530341;Tabac Créteil Soleil;dimanche;Ccial C Commercial Créteil Soleil Porte 23 - 1er étage;94000;Créteil;;;;;;;;
tabac loto;530526;La Bonne Fortune;dimanche;65 Avenue François Mitterrand;94000;Créteil;;;;;;;;48.769114, 2.465314
café tabac;520352;Le Vizir;lundi;10 Avenue de la Division Leclerc;95170;Deuil-la-Barre;;;;;;;;48.966884, 2.317732
tabac presse;520406;Librairie Fontaine;dimanche;14 Rue Arthur Fontaine;93700;Drancy;;;;;;;;48.919021, 2.455505
café tabac;520718;Le Nemrod;dimanche;97 Rue Henri Langlois;93700;Drancy;;;;;;;;48.912206, 2.452317
café tabac;520709;Tabac Le Flash;;1 Place Gabriel Péri;93440;Dugny;;;;;;;;48.954838, 2.41661
