commerce;identifiant commerce;DEA_NOM_COMMERCE;DEA_JOUR FERMETURE;DEA_RUE   _LIVRAISON;DEA_CP_  LIVRAISON;DEA_COMMUNE_LIVRAISON;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;geocodage_ban
tabac presse;510688;Tabac du Grand Cerf;dimanche;2 Rue Karl Marx;95870;Bezons;;;;;;;;48.923467, 2.207661
tabac loto;520401;Civette de Bobigny;dimanche;90 Boulevardd  Maurice Thorez;93000;Bobigny;;;;;;;;48.906506, 2.447413
tabac presse;520619;Le Divin;lundi;7 Place  des Nations Unies;93000;Bobigny;;;;;;;;48.912135, 2.4676
tabac presse;530615;Le Liberté;;9 Place des Libertés;94380;Bonneuil-sur-Marne;;;;;;;;48.764202, 2.486827
tabac loto;510383;Le Silly;dimanche;143 Rue de Silly;92100;Boulogne-Billancourt;;;;;;;;48.833017, 2.233676
tabac presse;510628;La Civette du Pont;dimanche;253 Boulevard Jean Jaurès;92100;Boulogne-Billancourt;;;;;;;;48.827031, 2.24737
café tabac;530376;Café des Sports;mercredi;70 Avenue Galois;92340;Bourg-la-Reine;;;;;;;;48.776685, 2.323328
tabac presse;520016;Totem;dimanche;41 Boulevard  Gallieni;94360;Bry-sur-Marne;;;;;;;;48.843607, 2.523638
tabac presse;530485;Librairie du Parc;dimanche;13 Avenue de la Division Leclerc;94230;Cachan;;;;;;;;48.785247, 2.328472
café tabac;530640;Tabac des Ecoles;7;79 Rue de Paris;94220;Charenton-le-Pont;;;;;;;;48.821521, 2.413434
café tabac;530568;Le Jean Nicot;;432 Avenue de la Division Leclerc;92290;Châtenay-Malabry;;;;;;;;48.768424, 2.252004
tabac loto;530491;Civette du Centre;;4 Rue Jean-Pierre Timbaud;92320;Châtillon;;;;;;;;48.802176, 2.286859
café tabac;510157;Le Narval;dimanche;72 Rue Paul Vaillant-Couturier;92140;Clamart;;;;;;;;48.805116, 2.259616
civette;510578;La Civette;dimanche;1 Rue Paul Vaillant-Couturier;92140;Clamart;;;;;;;;48.801442, 2.266748
café tabac;510546;Le Celtique;dimanche;33 Rue de Villeneuve;92110;Clichy;;;;;;;;48.904398, 2.307666
café tabac;510584;Le Chiquito;;128 Boulevard Jean Jaurès;92110;Clichy;;;;;;;;48.906416, 2.301193
café tabac;540184;Le Havane;dimanche;45 Boulevard Jean Jaurès;92110;Clichy;;;;;;;;48.899894, 2.306187
café tabac;510635;Le Chiquito;dimanche;16 Boulevard de Finlande;92700;Colombes;;;;;;;;48.93108, 2.259297
café tabac;510377;L'Atmosphère;dimanche;5 Rue de l'Abreuvoir;92400;Courbevoie;;;;;;;;48.890761, 2.255232
café tabac;510550;Le Flash;;35 Rue Jean Pierre Timbaud;92400;Courbevoie;;;;;;;;48.89797, 2.253401
tabac loto;530332;Tabac Le Village;lundi;3 Rue Paul-François Avet;94000;Créteil;;;;;;;;48.792469, 2.463671
tabac loto;530519;Tabac Presse;;11 Avenue du Général Pierre Billotte;94000;Créteil;;;;;;;;48.775006, 2.456709
café tabac;530546;Café du Bonheur;mardi;63 Rue Chéret;94000;Créteil;;;;;;;;48.802827, 2.460253
café tabac;540095;Le Diplomate;mardi;103 Rue du Général Leclerc;94000;Créteil;;;;;;;;48.789604, 2.46622
café tabac;520129;Le Voltigeur;lundi;78 Avenue Marceau;93700;Drancy;;;;;;;;48.92959, 2.433251
tabac loto;520546;Tabac Le Verdun;jeudi;72 Boulevard  de Verdun;94120;Fontenay-sous-Bois;;;;;;;;48.853901, 2.46949
librairie;540583;Librairie-Papeterie;dimanche;28 Rue Charles Frérot;94250;Gentilly;;;;;;;;48.815862, 2.351708
tabac loto;520170;Le Maracana;dimanche;35 Rue du Général Leclerc;95500;Gonesse;;;;;;;;48.987182, 2.446824
tabac presse;510521;Le PoRoute Plume;dimanche;58 Avenue Victor Cresson;92130;Issy-les-Moulineaux;;;;;;;;48.822292, 2.266181
café tabac;510625;Café Tramway d'Issy;;267 Rue Jean Jacques Rousseau;92130;Issy-les-Moulineaux;;;;;;;;48.821531, 2.252959
café tabac;510626;L'Aviation;;2 Rond-Point Victor Hugo;92130;Issy-les-Moulineaux;;;;;;;;48.828097, 2.27393
café tabac;510636;Tabac Saint-Germain;;3 Cours de l'Ancienne Boulangerie;92130;Issy-les-Moulineaux;;;;;;;;48.825133, 2.258488
librairie;540400;Hall de Presse;dimanche;1 Rue Auguste Gervais;92130;Issy-les-Moulineaux;;;;;;;;48.823827, 2.272986
café tabac;530377;Les Sports;mercredi;96 Avenue de Verdun;94200;Ivry-sur-Seine;;;;;;;;48.806916, 2.374875
tabac loto;520687;Le Jollois;;39 Boulevard Pasteur;93120;La Courneuve;;;;;;;;48.921903, 2.383348
tabac loto;520728;Tabac des 6 Routes;;1 Rue Saint-Denis;93120;La Courneuve;;;;;;;;48.930809, 2.383573
café tabac;510586;Tabac du Marché;;2 Rue Voltaire;92250;La Garenne-Colombes;;;;;;;;48.908679, 2.246948
café tabac;540605;Le Celtique;dimanche;1 Rue de L'Arrivée;92250;La Garenne-Colombes;;;;;;;;48.909967, 2.241599
café tabac;540618;Le Cyrano;dimanche;6 Place de la Gare des Vallées;92250;La Garenne-Colombes;;;;;;;;48.913179, 2.257726
café tabac;520440;La Mont Joie;;171 Avenue du Pdt Wilson;93210;La Plaine-Saint-Denis;;;;;;;;48.91103, 2.35763
café tabac;510684;Tabac La Verrière;;CCial  Orly Parc - Rue Marcel Rivière;78320;La Verrière;;;;;;;;48.754595, 1.947462
café tabac;530310;Tabac Brazza;samedi;28 Avenue EuGénérale Thomas;94270;Le Kremlin-Bicêtre;;;;;;;;48.80998, 2.358727
café tabac;530628;Le Royal Marigny;;26 Avenue de Fontainebleau;94270;Le Kremlin-Bicêtre;;;;;;;;48.81445, 2.360655
café tabac;520528;Le Maryland;;20 Boulevard  d' Alsace-Lorraine;94170;Le Perreux-sur-Marne;;;;;;;;48.84881, 2.495843
tabac;510720;Tabac de L'Avenue;;15 Avenue Charles de Gaulle;92350;Le Plessis-Robinson;;;;;;;;48.777813, 2.259201
café tabac;540317;Le Fontenoy;lundi;134 Avenue de la Résistance;93340;Le Raincy;;;;;;;;48.898954, 2.51733
café tabac;520542;Tabac de L'église;;132 Avenue Aristide Briand;93320;Les Pavillons-sous-Bois;;;;;;;;48.90912, 2.503173
café tabac;510593;Le Balto;dimanche;48 Rue Gabriel Péri;92300;Levallois-Perret;;;;;;;;48.893197, 2.286785
café tabac;530476;Le Royal;dimanche;9 Rue de Chevilly;94240;L'Haÿ-les-Roses;;;;;;;;48.776315, 2.340882
café tabac;520504;Tabac de la Mairie;;2 Rue Mechin;93450;L'Île-Saint-Denis;;;;;;;;48.935878, 2.340732
café tabac;530338;Le Mondial;lundi;157 bis Rue Jean Jaurès;94700;Maisons-Alfort;;;;;;;;48.79118, 2.435138
tabac presse;530637;Tabac du Marché;dimanche;56 Avenue Georges Clemenceau;94700;Maisons-Alfort;;;;;;;;48.809865, 2.443575
café tabac;530527;Tabac du Clos;;2 Boulevard du Colonel Fabien;92240;Malakoff;;;;;;;;48.81396, 2.278432
librairie;540391;Librairie - Presse;dimanche;29 Boulevard de Stalingrad;92240;Malakoff;;;;;;;;48.814039, 2.286517
café tabac;510549;Tabac Le Joli Mai;dimanche;29 Avenue du Général de Gaulle;92360;Meudon-La-Forêt;;;;;;;;48.787195, 2.226351
tabac presse;520012;Librairie du Lycée;dimanche;76 Rue de Rosny;93100;Montreuil;;;;;;;;48.86322, 2.44913
café tabac;530350;Le Carvès;;130 Avenue Aristide Briand;92120;Montrouge;;;;;;;;48.81197, 2.326088
café tabac;530464;La Divette;dimanche;63 Avenue Aristide Briand;92120;Montrouge;;;;;;;;48.816943, 2.325819
