zdc,latitude,longitude
72977,48.78844382992812,2.5359685133713716
72975,48.78762271537658,2.5447830729610694
478348,48.72869026131951,2.266139387853967
478347,48.96558342918106,2.283986217933262
60539,48.63417253759853,2.0112778585170474
59984,48.57103314759818,2.4326412698821294
59985,48.57079210085153,1.9113280441999811
59987,48.57189828648986,2.17597526724027
59992,48.57210944734329,2.170115928754656
72981,48.78970975856298,2.5496514294535215
59991,48.57137812093558,2.449588067126989
60536,48.635780463881154,2.306549703361846
72982,48.78968081502941,2.5736352877551822
72984,48.78995106951461,2.529415592021843
60535,48.6365710327934,2.4732164252272266
60532,48.636271059868676,2.229732160187485
72986,48.79059579795806,2.507508286596922
60530,48.634262012531124,2.471801113601239
72979,48.78942294701296,2.5846899320683274
60529,48.635143861324096,2.064150319539044
60527,48.63447178498183,1.8184710481944197
59996,48.57253476461419,2.4546252632657164
59999,48.572636889033774,2.3587470444083434
60564,48.63809649329403,2.276259144813684
60566,48.63874527337303,2.4130075067928884
60567,48.63899812058122,2.3615984971098216
63096,48.70979467417787,2.4985183870569903
60561,48.63861217348722,2.437629401654773
63091,48.71025398405054,2.3913419843446344
63094,48.70932877251402,2.2974463496504955
63092,48.709568094808006,2.177283855956411
59920,48.56187786862333,2.213335557933669
63093,48.70989317776242,2.490981305246921
59925,48.5631801757559,2.431750472892596
59927,48.562349195008096,1.7898380439206016
60554,48.63672547715725,1.9541767151456424
60552,48.635899965036245,1.8287270468884385
60558,48.6381341008055,2.4204587820903263
60556,48.63677717194891,1.831944595359266
63085,48.708977769117965,2.172563449097467
60551,48.6377052828062,2.4266456701194214
60550,48.63483546036278,1.8234032680757275
63080,48.709216641513876,2.2683156026834204
63081,48.709596498777216,2.359390550775154
63082,48.70971622369072,2.4375505737081444
63083,48.709428756882524,2.1272906260794384
60549,48.63419560479517,2.4491920818982864
59937,48.5644154380171,1.933363977927705
60589,48.64024753021994,2.3255130831939237
60585,48.64002385986493,2.4688723195322604
60587,48.63992991250276,2.0728331189883105
60581,48.63826440462109,2.3327592013621574
63079,48.70798606936825,1.8136556592543138
63078,48.70940225533363,2.2250593879693645
63076,48.70865612655614,2.382336384446526
63075,48.70888520682154,2.4320620893393454
63073,48.70985698564856,2.4416671083517185
59941,48.565771387823254,2.3258820439304015
63071,48.70821933929571,2.4142385668045065
59943,48.56622546090583,2.4432177466234646
59946,48.56574194305903,1.9868293484146382
59949,48.566150727183995,2.484523212346186
60578,48.63856430579266,1.8343886630880366
60575,48.6396835756005,2.2521316439289776
60573,48.639287640668456,2.261482212698932
63067,48.707303423054235,2.2378520474592185
60570,48.63901452123938,2.3455554397155605
63066,48.70898417316248,2.187234925917072
59952,48.56652430417152,2.4265908898928035
59953,48.56630613621681,2.4924234540437733
63062,48.707652344752795,2.2735970617016115
59956,48.56693982466305,1.9319638982899272
59954,48.56741786010576,2.355137748210329
59958,48.567575694425415,2.4443690465886947
59959,48.56790531732763,2.1638999861694215
63051,48.70737910056535,2.049177508247647
63053,48.707544906329154,2.044037104729745
63055,48.708118354980186,2.1988617632608456
63058,48.708661405253864,2.389478224838934
415177,48.896239264854906,1.5360516710998458
63043,48.70711514277617,2.075100016849476
63041,48.70743078778742,2.311313766486802
60591,48.63924165209425,1.8300707040649404
60592,48.6407960389829,2.3749596187923383
60593,48.6402761566553,1.9569562275751489
60594,48.64076321777972,2.2680986945318673
60596,48.64095202914462,2.3704175491656576
60598,48.64112579626962,2.337381673135601
60599,48.64142946809449,2.428559400824666
415148,48.74885032649046,1.3876030857476405
59902,48.55649831929204,1.8086889736678056
63036,48.70709377723747,2.1976475242242333
63030,48.70649862154968,1.9880690967133066
63038,48.706884183193765,2.0519794204089314
59915,48.56140323844369,2.3092956456352796
59919,48.562097374629865,2.306453965853484
59910,48.55935268806511,2.3140455638135826
63025,48.70613407136652,2.192022276193522
63023,48.704876157150515,2.1265172678830524
63020,48.70602669376915,2.033117654910215
63027,48.706516857071186,2.0358878899286936
63016,48.7056734041223,2.071299827058762
63018,48.70610346788577,2.385301997934795
