lat_coor1;long_coor1;Localisation;Code postal;Ville;Accès;Accès Libre;Complément de localisation;Disponibilité Semaine;Disponibilité Horaires;point_geographique
48.87146267203905;2.343360213124638;Métro Grands Boulevards;75002;PARIS;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.87146267203905, 2.343360213124638
48.86194;2.44107;Métro Mairie de Montreuil;93100;Montreuil;Intérieur;OUI;Près de la recette;7j/7;Heures ouvrables;48.86194, 2.44107
48.85193;2.40121;Métro Buzenval;75020;PARIS;Intérieur;OUI;Près de la recette;7j/7;Heures ouvrables;48.85193, 2.40121
48.85534;2.36015;Métro saint Paul;75004;PARIS;Intérieur;OUI;En face service;7j/7;Heures ouvrables;48.85534, 2.36015
48.864881;2.3984038;Métro Gambetta;75020;PARIS;Intérieur;OUI;À côté guichet service;7j/7;Heures ouvrables;48.864881, 2.3984038
48.844680739566684;2.2936858736838164;Métro Commerce;75015;PARIS;Intérieur;OUI;Face recette;7j/7;Heures ouvrables;48.844680739566684, 2.2936858736838164
48.83952323217473;2.301070994621266;Métro Vaugirard;75015;PARIS;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.83952323217473, 2.301070994621266
48.83898;2.33056;Métro Raspail;74014;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.83898, 2.33056
48.8384342;2.3607202;Métro 5 Quai de la Râpée;75012;PARIS;Intérieur;OUI;Face a la recette;7j/7;Heures ouvrables;48.8384342, 2.3607202
48.8714823;2.2768193;Métro Victor Hugo;75016;PARIS;Intérieur;OUI;En face guichet service;7j/7;Heures ouvrables;48.8714823, 2.2768193
48.9302098;2.2843374;Métro 13 Les Courtilles;92600;Asnieres sur Seine;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.9302098, 2.2843374
48.793210000000045;2.320720000000051;RER B Bagneux;92220;Bagneux;Intérieur;OUI;À côté de la recette;7j/7;Heures ouvrables;48.793210000000045, 2.320720000000051
48.8730424;2.3762611;Métro Colonel Fabien;93440;Dugny;Intérieur;OUI;En face guichet service;7j/7;Heures ouvrables;48.8730424, 2.3762611
48.85829170667496;2.3231353104310695;Métro Solférino;75007;PARIS;Intérieur;OUI;A l'entrée pres recette;7j/7;Heures ouvrables;48.85829170667496, 2.3231353104310695
48.837234608683886;2.4019621204974486;Métro Michel Bizot;75012;PARIS;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.837234608683886, 2.4019621204974486
48.93653000000006;2.3585900000000493;Métro 13 Basilique de saint Denis;93200;Saint Denis;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.93653000000006, 2.3585900000000493
48.8917997;2.238218;RER A La Défense;92800;Puteaux;Intérieur;OUI;Guichet sur la mezzanine;7j/7;Heures ouvrables;48.8917997, 2.238218
48.8213973996986;2.413358084477247;Métro Charenton école;94000;Charenton;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.8213973996986, 2.413358084477247
48.8488526;2.3278735;Métro Rennes;75015;PARIS;Intérieur;OUI;A l'entrée de la bouche;7j/7;Heures ouvrables;48.8488526, 2.3278735
48.8572993;2.3516787;Métro 11 Hôtel de ville;75001;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.8572993, 2.3516787
48.79937000000007;2.328520000000026;RER B Arcueil Cachan;94230;Cachan;Intérieur;OUI;À côté de l'entrée;7j/7;Heures ouvrables;48.79937000000007, 2.328520000000026
48.87146267203905;2.343360213124638;Métro Filles du Calvaire;75003;PARIS;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.87146267203905, 2.343360213124638
48.84417000000008;2.339050000000043;RER B Luxembourg;75006;PARIS;Intérieur;OUI;Face à la recette;7j/7;Heures ouvrables;48.84417000000008, 2.339050000000043
48.820052;2.3401373;RER B Cité Universitaire;75014;PARIS;Intérieur;OUI;À côté du guichet;7j/7;Heures ouvrables;48.820052, 2.3401373
48.85519;2.34714;Métro Cité ligne 4;75001;PARIS;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.85519, 2.34714
48.77982000000003;2.2804400000000555;RER B Robinson;92350;Robinson;Intérieur;OUI;À côté de la recette;7j/7;Heures ouvrables;48.77982000000003, 2.2804400000000555
48.8875727;2.2959121;Métro Wagram;75017;PARIS;Intérieur;OUI;À côté guichet service;7j/7;Heures ouvrables;48.8875727, 2.2959121
48.79765292475834;2.4494083225560197;Métro Créteil l'échat;94000;Créteil;Intérieur;OUI;À côté de la recette;7j/7;Heures ouvrables;48.79765292475834, 2.4494083225560197
48.89022977040568;2.339019375166449;Métro Abbesses;75018;PARIS;Intérieur;OUI;À gauche de la recette;7j/7;Heures ouvrables;48.89022977040568, 2.339019375166449
48.9175314;2.3409065;Métro 13 Mairie de Saint Ouen;93200;Saint Denis;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.9175314, 2.3409065
48.85921;2.34632;Métro Châtelet ligne 4 sa200;75001;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.85921, 2.34632
48.69839845631049;2.1369906813153037;RER B Gif sur Yvette;91190;Gif sur Yvette;Intérieur;OUI;Face à l?entrée;7j/7;Heures ouvrables;48.69839845631049, 2.1369906813153037
48.8955194;2.4247654;Métro 5 Bobigny Raymond Queneau;93000;Bobigny;Intérieur;OUI;Côté recette;7j/7;Heures ouvrables;48.8955194, 2.4247654
48.807900000000075;2.333180000000027;RER laplace;94110;Arcueil;Intérieur;OUI;A coté de la recette;7j/7;Heures ouvrables;48.807900000000075, 2.333180000000027
48.9457042;2.3654339;Métro 13 Saint Denis université;93200;Saint Denis;Intérieur;OUI;A côté de la recette;7j/7;Heures ouvrables;48.9457042, 2.3654339
48.85541000000006;2.2701600000000326;Métro Ranelagh;75016;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.85541000000006, 2.2701600000000326
48.85236000000003;2.268120000000067;Métro Jasmin;75016;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.85236000000003, 2.268120000000067
48.839950000000044;2.3821700000000305;Métro Bercy;75012;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.839950000000044, 2.3821700000000305
48.87545000000006;2.3662500000000364;Métro Saint Lazare;75008;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.87545000000006, 2.3662500000000364
48.85388000000006;2.3492800000000216;Métro Pont Marie;75010;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.85388000000006, 2.3492800000000216
48.858610000000056;2.3420800000000668;Métro Pont-Neuf;75001;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.858610000000056, 2.3420800000000668
48.84448000000003;2.352510000000052;Métro Place Monge;75005;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.84448000000003, 2.352510000000052
48.84054000000003;2.3516200000000254;Métro Censier Daubenton;75005;PARIS;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.84054000000003, 2.3516200000000254
48.81060000000008;2.362040000000036;Métro Kremlin Bicêtre;94270;LE KREMLIN BICETRE;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.81060000000008, 2.362040000000036
48.85557000000006;2.7746100000000524;RER A Val d'Europe;77700;Serris;Extérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.85557000000006, 2.7746100000000524
48.836880000000065;2.709790000000055;RER A Bussy-saint-Georges;77600;BUSSY SAINT GEORGES;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.836880000000065, 2.709790000000055
48.84250000000003;2.5780300000000693;RER A Noisy-Champs;93160;Noisy-Le-Grand;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.84250000000003, 2.5780300000000693
48.841120000000046;2.547200000000032;RER A Noisy-le-Grand - Mont d'Est;93160;Noisy-Le-Grand;Intérieur;OUI;En face de la recette A;7j/7;Heures ouvrables;48.841120000000046, 2.547200000000032
48.807450000000074;2.509390000000053;RER A Champigny;94210;Saint-Maur-des-Fossés;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.807450000000074, 2.509390000000053
48.898600000000044;2.122160000000065;RER A Le Vésinet Le Pecq;78110;Le Vésinet;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.898600000000044, 2.122160000000065
48.91975000000008;2.3443700000000263;Métro Carrefour Pleyel;93200;Saint-Denis;Intérieur;OUI;En face de la recette;7j/7;Heures ouvrables;48.91975000000008, 2.3443700000000263
