code_externe,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
C00815,61094,61102,"Souppes - Château-Landon","Office du Tourisme",180,146
C00815,61539,424527,"Place de l'Étape","Château / Place Napoléon Bonaparte",180,212
C00815,61060,61063,"Foyer Rural / Place Verdun","Place du Marché",180,174
C00815,61207,61218,"Pasteur / Quai Victor Hugo","Nemours - Saint-Pierre",180,212
C00214,72789,73567,"André Citroën - Centre de Production","22, avenue des Nations",300,374
C00214,73594,73596,"Rue des Vignes","Aéroport CDG 1 (Terminal 3)",180,186
C00214,73592,73594,"Rue du Châpitre","Rue des Vignes",120,374
C00214,73594,462531,"Rue des Vignes","Aéroport CDG - Terminal 2 (Route de service)",180,188
C00214,73596,462531,"Aéroport CDG 1 (Terminal 3)","Aéroport CDG - Terminal 2 (Route de service)",120,188
C00214,73568,419644,"Parc des Expositions","Rue de l'Etang",120,374
C00214,69129,73991,"Rue de la belle Étoile / Avenue du Bois de la Pie / Parc des Nations","Centre Commercial Aéroville",360,374
C00214,72646,73425,Aulnay-sous-Bois,"Pont de la Croix Blanche",180,186
C00214,73505,73516,"Lenglen / Calmette et Guérin","Vélodrome (cours Salvador Allende)",180,374
C00214,72782,72789,"Croix Saint-Marc","André Citroën - Centre de Production",120,374
C00214,69165,73592,"Les Deux Cèdres","Rue du Châpitre",60,374
C00214,73488,73489,"Lycée Voillaume",Savigny,120,374
C00214,73425,73442,"Pont de la Croix Blanche","Collège Gérard Phillipe",120,188
C00214,73590,73591,Marguilliers,"Cargo Centre",60,374
C00214,73455,73461,"Lycée Jean Zay / Lycée d'Aulnay","Soleil Levant",120,374
C00214,72778,72782,Tennis,"Croix Saint-Marc",120,374
C00214,73442,73455,"Collège Gérard Phillipe","Lycée Jean Zay / Lycée d'Aulnay",60,374
C00214,69120,69129,"277 rue de la Belle Etoile","Rue de la belle Étoile / Avenue du Bois de la Pie / Parc des Nations",60,350
C00214,73590,73991,Marguilliers,"Centre Commercial Aéroville",60,374
C00214,72646,72656,Aulnay-sous-Bois,Mairie,180,188
C00214,69165,73591,"Les Deux Cèdres","Cargo Centre",60,374
C00214,73575,73578,"33 rue des Chardonnerets","Avenue de la Pyramide",60,24
C00214,69120,73578,"277 rue de la Belle Etoile","Avenue de la Pyramide",60,374
C00214,73492,73505,"Schuman / Schweitzer / Paré","Lenglen / Calmette et Guérin",60,374
C00214,72656,73425,Mairie,"Pont de la Croix Blanche",60,188
C00214,73461,73466,"Soleil Levant",Arts,120,374
C00214,73511,73516,Botticelli,"Vélodrome (cours Salvador Allende)",60,366
C00214,72768,72774,"Matisse Delacroix",Bougainville,60,374
C00214,73425,73435,"Pont de la Croix Blanche","Stade du Moulin Neuf",120,186
C00214,73567,73568,"22, avenue des Nations","Parc des Expositions",60,374
C00214,72768,73511,"Matisse Delacroix",Botticelli,60,374
C00214,73466,73476,Arts,"Lapin sauté",60,374
C00214,73575,419644,"33 rue des Chardonnerets","Rue de l'Etang",60,374
C00214,73476,73488,"Lapin sauté","Lycée Voillaume",60,374
C00214,73489,73492,Savigny,"Schuman / Schweitzer / Paré",60,194
C00214,72774,72778,Bougainville,Tennis,60,16
C00214,73435,73442,"Stade du Moulin Neuf","Collège Gérard Phillipe",60,186
C00213,73568,74244,"Parc des Expositions","Rue du Sausset",240,384
