ID_Line;Document_Name;URL;Type;Name_Line
C00122;Plan ligne 6283;https://ilico.iledefrance-mobilites.fr/uploads/plans/20260811T063845Z-709e9a8e-9c28-431f-980a-6ab5834a90bf.pdf;PLAN;6283
C00124;Plan de ligne 5270;https://ilico.iledefrance-mobilites.fr/uploads/plans/20250804T123744Z-5f141b17-e8de-4a12-8910-5744f0a3fcfb.pdf;PLAN;5270
C00129;Fiche horaires 6561 - 5 janvier 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20251219T152857Z-7f434550-b4b5-4ed4-8013-e4b67101f319.pdf;HORAIRE;6561
C00137;Plan ligne 5211;https://ilico.iledefrance-mobilites.fr/uploads/plans/20250804T124044Z-0e8f0fe6-b2e4-4e78-9b84-b9c542c09e74.pdf;PLAN;5211
C00140;Horaires valables du 6 juillet au 31 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260612T141215Z-70b0a73e-ace0-4b64-a75e-8619a7279a58.pdf;HORAIRE;1115
C00143;Express 1 > 7826 - Horaires valables du 13 juillet au 23 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260531T195947Z-7df9329b-e335-4bd3-a415-7dfb8c3352f0.pdf;HORAIRE;7826 (ex Express 1)
C00145;9 > 6309 - Horaires valables du 13 juillet au 23 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260531T200146Z-0a18d8ad-9677-4fe3-90ef-4164bc562f86.pdf;HORAIRE;6309 (ex 9)
C00149;10 > 6304 - Horaires valables du 13 juillet au 23 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260531T200217Z-697c74af-48eb-4a7a-a32b-bb3482983e91.pdf;HORAIRE;6304
C00157;Horaires valables du 13 juillet au 23 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260531T201050Z-745db1b7-9727-4e78-ad5e-6d0d035b8776.pdf;HORAIRE;6307
C00158;Horaires valables du 13 juillet au 23 août 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260531T200658Z-9bd4a4bb-1b1a-41d4-956f-29ee78252869.pdf;HORAIRE;6302
C00164;Ligne 5233 - Horaire rentrée Septembre 2025;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260428T102227Z-0da372b4-9314-4c35-89a4-aa48f72d73ad.pdf;HORAIRE;5233
C00167;Ligne 4461 - Horaires valables du 1 Août 2026 au 31 Août 2026 inclus;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260806T162500Z-5786fb07-8297-4fad-b0c3-9f1d6cbd0a97.pdf;HORAIRE;4461
C00172;Ligne 5215- Horaire rentrée Septembre 2025;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260424T151923Z-b1c2640d-5676-4707-a2c3-14c5ed781e1b.pdf;HORAIRE;5215
C00173;Ligne 5318 - Horaires à partir du 6 juillet 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260617T150048Z-2f80bfec-c7e6-44f0-bd84-f084dcaa6629.pdf;HORAIRE;5318
C00175;Plan ligne 5320;https://ilico.iledefrance-mobilites.fr/uploads/plans/20250417T101229Z-70643a3f-f979-46fb-8505-6360ee094b32.pdf;PLAN;5320
C00181;Plan ligne 5230;https://ilico.iledefrance-mobilites.fr/uploads/plans/20250303T163841Z-e0aaf617-688e-448b-8da1-0c913ef8bf94.pdf;PLAN;5230
C00182;Ligne 5301 - Horaire à partir du 6 juillet 2026;https://ilico.iledefrance-mobilites.fr/uploads/fiches/20260617T144209Z-58a423e3-de8b-4cd8-a929-c7933d48219b.pdf;HORAIRE;5301
