PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion;ArRGeopoint;ArTGeopoint
;;64759;1245392;52068;1245391-1245392;35523;35523-1245391;50201638;1661905-35523;48.9216601723047, 1.6917902640840672;48.921633942854946, 1.6918591623543542
;;64788;64788;53965;53965-64788;32464;1300001-53965;50164980;1677037-1300001;48.92587051429265, 1.8657454063493846;48.9258701267752, 1.865704469581751
;;64788;64788;53965;53965-64788;484095;1430608-53965;50173956;1676857-1430608;48.92594231882647, 1.8657301925371201;48.92593332711364, 1.8657303885652308
;;64830;64830;415087;633576-64830;32457;1398235-633576;50199692;1662864-1398235;48.92897509736686, 1.8593035308807306;48.929072057081825, 1.8590966660299575
;;64848;64848;54097;661331-64848;32787;32787-661331;50164886;1677119-32787;48.928927578094665, 1.7902663565857637;48.928882895817566, 1.7902946943616218
;;64810;64810;53967;53967-64810;484064;1397979-53967;50181916;1676822-1397979;48.92706752093791, 1.8629895656543531;48.92706752093791, 1.8629895656543531
;;482876;1565841;43428;1565840-1565841;491287;1565341-1565840;50198557;1563123-1565341;48.8859776025978, 2.3825583453925847;48.88588809753129, 2.3826412282919187
;;482876;1565841;43428;1565840-1565841;418999;1351709-1565840;50143317;1581057-1351709;48.88596846926133, 2.382531179775449;48.885986735928014, 2.3825855110192484
;;62611;1322425;48684;1322424-1322425;4540;1302998-1322424;50199694;1513660-1302998;48.68340738505568, 2.001883479216328;48.68323570600555, 2.0017916634514115
;;486939;1460606;486906;1458466-1460606;486905;1460612-1458466;50186730;1761491-1460612;48.762677418839495, 2.071809482100802;48.762677418839495, 2.071809482100802
