zdc_a,zdb_b,duree_mediane_secondes,nb_observations
68369,462604,465,6
63147,63174,497,6
62874,62930,480,4
73442,73455,492,4
70628,70671,452,8
62709,62741,425,8
73226,73227,431,14
71138,71142,465,16
65855,65893,372,8
71311,71322,402,8
72087,72088,353,8
71579,73649,456,20
68411,68413,389,8
72034,72421,420,16
67840,67852,281,8
70436,70478,358,18
63165,63173,438,6
66609,66632,400,12
71801,71821,373,8
474355,482803,313,8
71930,415670,408,12
70905,70908,302,8
66851,66868,449,4
74019,481039,485,8
71474,71504,488,12
68026,68044,337,8
70743,70752,455,18
67538,67546,420,4
67753,476950,486,8
71109,71121,494,2
70073,70102,496,2
72753,72770,417,18
71971,71983,390,42
60443,480061,478,6
71846,412665,443,8
70427,70448,493,2
415625,480748,294,4
60286,487096,451,12
419655,419656,364,2
64465,64479,364,8
72460,72473,419,24
69538,69541,449,4
71858,71935,396,18
73023,492181,323,8
70785,73889,427,4
65388,65451,448,8
73288,73911,410,16
60225,477077,423,6
70850,70855,455,6
64986,65030,416,2
64868,64888,437,8
62878,62904,360,2
67620,67632,487,6
66939,488409,435,14
61043,62621,415,8
64939,64951,412,8
65929,65963,376,8
73618,73620,453,26
69878,412570,444,4
70011,70056,440,2
68795,68802,428,4
63298,482564,500,4
71941,71946,402,12
70465,70503,484,2
70232,70266,454,8
70946,70954,413,6
71463,71490,379,6
71906,463596,483,16
65446,65483,442,8
63701,63717,440,16
71409,482803,390,14
423708,424040,290,8
69472,69475,403,8
72543,483666,400,2
419842,425985,470,2
412712,495816,420,8
65463,65493,360,2
66237,66290,440,8
72107,73854,397,8
73263,73266,419,22
71607,480550,330,32
68276,68287,412,8
65228,65255,294,4
66187,483637,298,8
63724,63758,491,2
72355,73921,452,12
71001,480002,367,24
66632,66653,447,6
60511,60533,440,8
71652,71659,376,8
65342,65371,471,10
60505,60509,432,12
72924,72928,423,8
68518,68520,429,8
65604,73940,378,16
64764,64805,485,4
63000,63067,412,16
71230,71270,449,10
71264,463554,492,6
62524,62528,469,8
69910,69918,428,6
72558,483667,446,6
71783,71791,429,4
63336,63341,501,2
66235,66279,433,8
71456,73848,334,24
420300,482856,254,8
68554,68556,412,8
71170,71203,494,4
63567,63569,484,6
71449,71452,385,16
64577,64579,475,8
65830,421248,356,8
65654,65695,481,10
66017,424901,445,8
73224,73226,341,12
64866,64872,451,4
65851,65912,495,4
71403,71408,468,16
66483,66511,445,8
70868,74006,478,2
69501,419995,406,6
73521,73522,426,8
71926,71941,382,12
62865,62872,457,4
62621,62652,428,8
71274,73796,394,22
68916,68935,473,20
69491,73718,486,6
70029,70039,374,8
64931,64988,449,4
70850,70853,390,24
72036,495771,459,8
73422,73430,400,2
72886,72889,482,8
63953,426363,437,14
72965,72967,435,8
69554,69557,457,12
60887,60888,465,4
66969,66978,389,8
69445,69447,437,4
65538,422378,386,2
71271,492980,309,12
65046,65054,337,24
424527,479240,363,10
72637,72649,486,10
73006,419184,458,8
68147,68151,297,8
72934,72942,464,8
72982,72989,404,26
65804,65861,416,8
68048,68061,460,2
69797,69818,420,14
63986,63994,336,8
70954,70957,388,6
60673,60684,398,8
71662,71676,476,4
71218,73639,390,13
68369,68387,444,6
65625,417697,476,8
71182,412694,466,2
60343,60359,400,8
72565,72569,484,2
67603,67616,426,8
71276,73630,454,12
73455,73461,496,2
70928,70934,430,20
65472,422319,395,4
66160,66193,326,8
63833,63835,442,14
71354,71367,432,24
71147,71154,426,20
62758,62761,494,4
71673,420237,423,46
71879,71891,405,8
59663,59667,472,2
64766,64786,437,4
65599,419400,401,8
71747,71772,465,4
73260,491146,374,2
70615,70626,427,8
59915,59932,397,2
61034,422930,423,16
72497,426383,473,2
71242,463900,373,4
70713,473293,346,12
64099,477489,355,8
71128,421357,424,12
60457,74108,363,8
60094,60095,375,2
71966,71969,454,6
61552,421136,465,6
67911,463369,482,6
68848,73756,467,8
69856,69865,419,4
69775,69786,482,8
62419,62430,465,4
73288,73297,454,14
70541,70584,440,4
415528,482757,440,2
67519,67522,496,2
71379,71397,470,16
72434,73798,441,20
70247,70263,484,6
62426,62435,416,8
72615,72626,283,4
60486,487097,405,4
72491,72507,493,6
64201,64204,414,14
74376,493456,386,8
65775,65815,464,4
62434,62435,476,4
62839,62864,421,4
70196,70230,433,16
68430,68445,445,6
60514,424431,471,6
65153,65184,443,16
73048,73054,411,16
65295,65301,453,8
71231,71244,350,6
63242,63243,358,8
68510,68529,465,6
72943,72948,456,14
66522,66548,457,16
66638,66648,399,6
65965,66007,462,8
64487,64496,411,8
68516,68517,328,2
72131,72158,483,4
422804,483241,393,12
73628,73629,407,4
65251,65305,439,8
64571,73599,371,12
70338,70359,394,16
70049,479936,357,10
67625,426345,423,12
73451,73453,422,8
65519,65544,297,8
71801,73665,447,4
67516,67524,276,4
72289,72298,355,8
71365,71383,428,8
71276,71287,441,16
60154,60168,463,8
65100,65119,290,2
478935,483237,389,4
63737,63744,395,8
61600,61601,402,6
70837,70843,366,12
70151,70177,485,2
60448,495862,359,16
72250,72268,423,8
71492,71493,446,18
64976,415637,455,22
66315,66347,477,6
70614,70622,416,34
60831,415426,401,4
66436,73607,442,10
68595,68613,441,8
68501,68542,467,2
70844,70845,388,4
73163,73167,465,10
72715,72724,422,4
71651,412672,352,4
72022,72037,444,12
64010,491126,485,2
70072,70084,434,12
71673,71697,490,10
68008,427126,430,4
60484,60511,464,10
69498,73719,453,16
60479,60485,309,2
70964,70966,478,6
70771,73889,338,6
70023,485813,417,20
72348,73873,433,8
70107,70110,449,6
70904,70905,402,8
70645,491747,416,20
64146,64155,451,8
65609,65680,482,10
64632,64650,322,4
65330,65362,412,4
64995,65019,471,8
63379,483631,455,8
66597,74176,354,8
73954,74176,346,8
71895,73676,451,4
71205,482826,286,4
60750,462649,450,4
73163,416071,340,12
70692,70698,600,14
71717,71756,497,2
72350,474394,451,4
63659,63660,347,8
71033,412737,449,10
64566,483250,398,8
71273,479068,463,4
69502,425683,387,6
423786,423789,475,8
72962,72963,374,8
69046,69047,388,8
70589,473389,438,14
61104,61110,400,8
70177,415687,341,4
71191,415738,375,2
72337,72347,424,12
70479,70481,462,2
68211,68235,422,8
72507,72524,481,4
65132,65166,443,2
65831,65851,479,6
71614,71620,425,32
71163,71164,404,8
73079,482698,476,8
62498,62509,278,8
68922,68934,404,2
70668,70985,464,12
70413,70462,430,6
69755,69774,414,8
63935,63940,358,10
71821,73665,460,4
70830,70833,443,8
66426,66442,324,8
59763,59785,364,8
68765,68772,334,8
72163,72186,377,8
71478,71505,355,20
66042,66146,497,4
70722,70723,391,14
70615,70645,449,24
66813,66817,344,8
65661,65688,429,4
71717,71742,453,12
73530,485544,310,12
70456,70500,494,4
64464,64471,459,8
59912,59915,337,4
65234,65259,375,8
62994,63032,500,2
73168,73173,462,6
69607,69611,462,6
66086,66099,415,8
73098,73106,462,22
71214,71231,486,4
69684,69697,416,12
61987,486748,436,16
70412,70437,431,24
60471,60493,469,12
63470,73807,380,4
73564,73566,474,8
69664,427580,440,2
66383,66388,466,6
478351,483394,361,16
477880,483419,482,2
68506,68532,474,4
68332,68360,474,2
64541,64549,480,6
65134,65135,460,8
69760,69773,337,8
71470,71494,438,20
64051,421020,470,4
70339,70364,413,10
59496,59500,460,8
71166,71183,410,14
64946,421007,428,6
65967,422532,442,24
65004,65006,276,4
65210,65232,440,14
70431,415675,448,12
72028,73300,481,2
73570,73571,383,8
63911,63936,464,8
59583,59588,363,8
72778,72781,312,12
64084,64112,496,2
72548,72576,448,6
63103,63112,412,8
63603,419305,300,8
60545,60581,335,8
72149,72162,469,8
70961,493021,484,8
64346,463493,467,4
66502,66519,421,4
71991,482790,434,4
60163,60191,467,4
63173,425949,451,8
71253,71264,456,52
70427,479897,433,8
73668,73800,300,8
70614,473389,474,6
66590,66605,449,8
61150,61157,483,4
70684,70692,462,2
68259,68260,384,8
72202,424842,369,6
70663,70676,448,14
65099,65110,491,6
68965,426274,470,4
71510,71523,456,20
71207,463900,497,2
70058,70084,502,2
71078,71095,456,10
63616,424739,489,2
73439,73448,422,22
62921,62930,364,4
72592,72602,365,12
71215,71221,442,4
69102,74256,302,4
69829,69855,397,12
70603,478742,375,14
70131,70187,355,12
70711,70721,458,34
64960,482098,497,2
63987,422463,302,8
64839,64863,418,4
424436,487150,451,8
66130,491914,494,2
63839,63862,454,8
64952,417900,434,4
66792,66806,462,12
63524,63532,395,4
72131,72141,484,4
62911,62923,494,2
59941,485434,400,8
68937,68957,473,6
62716,62717,451,8
62774,62807,470,4
70156,70159,440,6
72544,72559,472,8
63609,63618,396,8
71473,474351,378,20
69959,70005,376,24
71335,71351,392,6
70517,70551,460,4
60656,60676,473,8
67230,67232,415,8
64005,64023,479,4
72004,424919,474,2
66571,66612,481,4
60354,416128,426,6
71535,71547,392,4
70715,70717,413,8
63826,63842,410,4
70329,70372,474,6
59403,415643,444,4
64595,64606,410,8
64169,64191,463,4
62232,62242,448,10
71007,479953,356,24
60959,60987,484,12
62383,62391,411,8
60327,60339,382,8
71278,71294,428,30
71122,71128,437,32
69470,420177,346,8
71925,71934,314,12
62812,62892,455,10
70294,70311,418,22
71775,71784,327,10
62916,62952,480,8
73166,73169,411,20
69826,415629,379,20
71408,71415,473,28
69819,69846,374,24
417874,483251,385,8
65663,480007,281,6
70441,70449,441,20
66686,66696,487,8
65876,422532,498,2
70823,483410,455,14
71065,481039,325,4
66099,66106,490,2
66543,420433,365,14
74004,427089,326,4
70310,491992,474,12
62907,62921,384,8
65924,65927,455,4
70236,492986,377,8
69913,482720,328,16
71132,71143,393,2
66236,66276,475,4
69967,70013,470,12
66929,66949,447,6
71704,415663,454,8
70676,412737,438,6
63049,63095,492,4
60964,60993,494,2
70087,70088,388,8
65508,65515,465,4
65730,65740,440,4
71604,71609,380,20
71930,415648,355,12
72472,72477,492,10
69453,69455,382,8
69260,69269,436,4
72102,72113,451,10
70807,70816,395,24
65421,65450,470,2
72595,72597,394,4
70169,70194,422,4
67744,67748,376,4
71160,73640,377,74
71118,71142,431,6
62525,62534,407,4
72137,72148,443,14
65400,65403,462,4
72498,72517,482,2
70973,70974,395,8
66039,66063,501,2
62628,62680,415,16
71085,71105,484,6
61813,61823,377,4
65369,65383,349,8
64405,479911,369,10
61539,61544,489,6
62522,62527,384,8
60617,73805,500,2
70336,412673,377,2
66597,488494,461,4
73341,73350,414,16
71699,74038,474,4
68098,68111,466,4
72936,72944,476,4
70411,70419,443,8
64530,64541,425,8
66731,493476,351,4
69461,69462,379,4
60700,483576,492,4
70673,71030,416,16
64172,64187,385,12
71274,415749,494,2
60211,492631,322,4
64619,64626,419,2
73300,73304,419,4
60158,73786,391,4
71315,71327,415,22
71256,71777,402,16
69693,69697,469,4
72092,72126,456,4
68171,68185,401,4
64269,64276,403,8
71541,74003,450,6
71055,71070,469,6
68096,68102,453,8
71838,71850,463,10
69675,69694,435,4
73295,73299,370,8
421243,480583,397,4
62637,62683,488,8
70218,70222,492,6
69503,419995,448,22
64605,64612,386,8
65218,65255,464,4
64596,64607,499,2
66855,66861,405,8
70144,70182,455,10
62745,73768,341,4
61197,61201,406,8
72267,72271,371,12
66703,66728,421,8
69346,69348,392,8
70873,70878,485,4
71039,482597,391,28
72266,420660,457,14
64585,64587,420,8
70671,70981,474,12
72701,72709,385,16
71271,71290,454,52
67426,486124,362,4
62419,474202,417,8
65794,65853,431,4
71387,71407,424,18
70390,70427,485,8
69434,73952,469,4
69517,73720,360,6
60223,60247,425,32
70871,426380,370,8
64437,64441,363,8
69432,73952,434,12
63818,63824,414,16
63734,63743,457,6
62698,62720,452,4
66531,66543,442,4
70517,70547,439,2
70627,421970,409,4
71935,416508,394,2
71789,71796,415,4
71781,73850,436,8
65771,65833,444,8
70386,70469,476,4
72748,72752,372,12
69050,478928,496,4
61512,480957,491,2
71864,71868,476,30
66515,66535,429,28
67700,478854,303,16
60196,60203,498,4
64937,64980,468,4
73669,479850,340,16
64467,64482,441,6
60598,425895,386,6
60737,60744,375,8
69722,69755,404,4
65375,65420,348,4
71314,71327,456,4
66600,66611,402,8
73270,73278,472,2
72607,72618,425,8
479956,479958,407,2
62009,62030,441,6
71963,415670,449,14
71770,71785,420,20
71253,73630,474,16
69685,69691,433,16
66158,66227,488,2
70241,70276,481,2
70910,70920,392,10
71456,71459,426,2
69817,69839,422,12
63123,63161,406,4
68008,68018,399,12
415581,427818,408,8
71157,412694,487,4
479368,480952,428,4
63888,63901,392,8
65900,65940,414,20
65750,65775,374,8
63896,478374,458,6
69681,69699,478,2
71505,71514,448,6
70387,70412,471,20
70570,70597,440,8
70464,70489,457,4
60747,60764,442,6
70250,70266,440,4
62699,62724,453,2
70305,412680,414,6
70751,70752,355,6
71619,482804,295,8
63989,63990,457,10
72483,72494,389,8
70862,480357,358,4
60192,60218,447,8
71613,71629,486,6
61866,61873,437,4
62069,481464,340,16
72769,72778,457,4
64769,64776,473,4
69493,69494,368,8
72578,73694,373,6
65994,423055,324,8
66870,66888,457,14
66755,66772,358,8
72943,72945,273,8
70861,70873,434,12
72690,72708,427,8
72304,72323,433,8
70590,70621,475,2
63155,427114,486,8
71407,71940,481,20
72786,72788,390,8
73336,73344,440,4
71038,481039,412,8
67193,67201,448,4
63259,63270,400,20
70264,479895,432,16
73847,412726,444,6
70593,70600,452,10
69586,69595,383,8
73540,73542,476,4
61847,61859,444,2
70289,70310,467,12
65401,65434,453,8
65068,65077,409,4
62658,422930,347,16
70808,483410,406,2
70347,73625,430,12
61454,61471,555,8
73195,73200,448,4
63929,63936,398,8
73242,73246,441,2
70114,70161,385,8
69469,73919,492,6
62797,62809,474,8
64000,477545,371,8
71709,415745,469,2
64914,64932,427,12
70780,70791,451,12
70086,480877,430,4
73684,73685,373,12
70895,70899,344,24
60072,60080,478,12
70603,70630,482,8
62402,62405,304,8
71181,71183,462,4
64956,64976,366,20
70654,71558,454,6
72449,72469,496,4
60419,420820,476,6
65472,417874,438,4
66345,66347,423,18
70566,70591,433,6
72899,72914,500,2
72484,72487,470,4
65580,65601,383,8
65491,65516,303,8
71176,73619,394,12
66647,66696,393,38
66193,421034,488,6
73578,73581,373,8
70362,496054,349,24
60392,420816,410,8
65814,491307,383,8
73365,73372,462,12
68260,68270,326,8
72940,72941,400,8
60676,60707,444,8
61452,481077,337,12
71289,71318,479,2
71602,71613,382,8
70739,70745,435,8
63442,63446,423,8
70310,480557,377,26
60819,60856,466,4
71238,463900,449,6
63715,63719,370,24
62933,62958,489,2
71059,71079,442,8
73632,73642,480,2
70988,71005,461,12
66316,66346,384,8
68934,68963,473,20
63634,63676,443,8
62058,482867,472,8
60891,486996,349,16
63684,63699,353,16
70551,482860,326,4
65711,65733,400,16
71098,71112,448,18
72063,73812,420,14
63660,495725,438,8
73276,73278,453,12
71001,73670,403,24
71922,490779,406,8
64412,64426,399,10
66577,66600,450,8
65013,65056,430,8
72054,72080,486,2
485777,485786,434,8
63431,63449,440,16
72885,72893,500,2
62875,62926,417,8
71713,71739,463,2
59637,59639,496,2
71197,473829,490,3
71424,71441,378,4
68968,68974,370,12
64481,64482,477,8
65429,65451,364,20
70448,70456,402,6
64189,483416,402,20
64107,64109,483,2
71912,490782,373,16
65407,65477,399,4
70400,70445,470,4
71875,71882,465,14
72535,72541,387,8
70476,70478,480,2
64227,64241,441,8
72220,72226,300,6
72594,72600,413,6
62541,62543,467,10
72496,72514,453,4
60425,420828,432,26
64998,65008,440,4
72492,72508,482,2
70059,420463,450,16
64745,64916,420,8
65836,65865,411,4
63732,63751,374,8
64664,64683,395,8
66188,483637,386,4
73259,462611,430,8
70862,479122,365,4
62996,63012,443,6
71983,71994,329,12
71097,71111,347,8
66873,66874,351,16
64963,64977,464,12
73337,73346,469,12
64753,64757,413,10
64775,491440,374,4
62398,62399,468,2
64500,64511,400,10
60206,60218,320,8
487082,487154,415,2
72066,72434,487,8
59778,478534,484,4
69538,463754,483,2
63575,63604,473,10
61601,61603,391,2
62904,62926,433,4
70519,70567,484,6
71989,424919,321,10
72283,74025,483,2
73675,473197,449,34
62806,62810,489,4
72426,72437,465,4
65015,65047,406,4
72389,72787,350,16
66872,66888,449,6
71902,71915,373,8
69772,69779,466,6
71004,492985,437,4
69613,69629,436,4
66137,66139,437,4
73040,485806,400,8
71146,73658,442,16
73162,73167,393,4
59933,411641,462,2
69543,70684,465,4
65912,65920,342,2
73350,480637,320,16
60745,60757,493,6
62502,62506,430,8
71513,71535,463,4
63334,63352,391,8
70899,70910,412,38
62828,62884,485,2
60174,422602,463,4
67412,67424,595,4
64729,64736,472,8
72714,72725,471,4
65314,65345,332,8
63710,462500,327,8
63991,63993,368,8
73044,73047,359,6
71762,71787,487,18
70443,73691,450,4
60192,60206,325,8
70390,485811,337,8
73240,73244,488,8
73208,73209,454,6
61951,61952,499,4
71432,71456,415,24
65047,65068,337,8
72394,74303,319,8
67320,67323,422,2
71921,71925,472,12
65903,65997,461,6
71106,71118,463,6
66018,66071,378,8
67685,67691,374,8
73045,73055,449,6
65749,73926,354,4
69895,69932,410,4
69851,425723,358,10
70171,412568,447,12
71629,71647,438,8
67575,67620,382,8
491747,491754,444,4
67897,463369,444,24
65215,65218,486,2
71661,71663,393,58
70846,71360,327,12
71764,73802,408,8
65926,65961,447,16
73969,423124,407,16
71240,71241,358,2
70093,70117,363,8
70949,70956,422,22
69771,73678,473,4
69792,69801,415,24
71532,71535,449,6
67136,481654,299,8
64786,492158,418,4
71236,71251,384,8
60522,60549,417,26
63288,482566,405,12
70138,417846,372,12
70542,70567,451,8
71264,474151,424,20
73771,73772,420,6
68256,68262,452,8
65625,493500,396,12
63711,63734,424,6
63938,63980,447,8
73856,427230,464,20
70899,481099,312,22
72196,424842,327,2
68327,68334,448,6
66052,66075,355,22
64137,64140,458,4
63560,63599,429,4
70746,70750,464,2
63703,63730,469,6
64497,64507,454,4
414341,426620,444,8
461959,485971,283,18
72043,72058,321,4
59939,426737,391,4
63036,63055,315,4
62554,62560,467,4
59958,59964,423,8
71692,71705,423,16
70440,70470,473,4
71301,71310,455,12
71540,73878,468,6
73157,73160,456,6
66576,66596,442,8
63974,64000,492,4
73788,482792,455,12
65638,65672,391,6
70978,479953,395,4
71454,71472,419,18
65145,478355,401,8
70925,70932,254,4
62615,62653,441,6
71991,482877,481,4
65129,65155,462,8
73487,73488,386,4
70627,70635,464,6
69120,73578,475,6
65298,72400,462,8
68662,461884,381,2
71382,71394,454,12
60980,60997,437,8
63989,491424,471,6
73861,490704,349,16
64809,64821,440,8
70207,70211,401,10
71012,71034,465,8
65512,65544,401,16
65508,425797,246,8
71920,71937,446,16
71501,71511,439,4
68421,68456,456,6
62428,62431,434,4
72970,72978,433,4
71509,73673,340,6
59800,59817,412,2
72603,482784,317,8
73532,73540,317,8
65213,479271,378,8
60836,60847,437,4
70455,461505,400,10
71013,412738,441,6
67544,67545,372,8
63680,63681,462,4
69468,69472,345,16
74148,74149,347,8
65568,493992,444,8
66326,66352,351,12
74132,74133,442,8
72028,72036,399,18
72124,490947,435,4
65898,66009,406,38
71002,74056,424,4
67790,483275,286,2
72215,72228,398,12
72182,72198,448,4
61908,61910,485,4
66108,66144,447,8
60223,473063,426,2
60927,479341,349,4
61508,61520,463,4
71371,71398,473,12
69995,73856,476,2
68825,68840,424,4
72451,479939,385,12
72044,72048,337,14
71581,71598,473,4
71484,71493,431,10
65094,65102,328,8
70917,483236,369,4
70749,73613,387,8
62421,62430,455,4
70925,483400,348,8
74037,74367,358,8
65516,479310,458,8
68544,68547,388,2
69535,69540,410,8
64983,483241,426,2
60331,427893,486,2
72482,72489,460,6
70876,480357,399,2
71656,71661,462,16
65366,65386,442,8
422355,483251,438,8
68415,68444,471,6
69865,69871,424,6
70786,70792,463,18
424919,424920,352,6
65758,65834,491,4
73052,482873,417,8
65425,65463,375,2
67293,67299,387,8
71046,412687,428,4
71137,423142,484,14
70880,70891,333,12
64132,64138,479,4
64079,479874,494,2
71754,71760,428,10
63346,63347,387,8
71725,491697,422,20
71320,73633,397,10
72726,72738,421,18
61891,61901,384,4
64713,64714,370,8
74021,74022,381,14
63149,63160,444,12
63965,63997,486,8
72054,482730,310,12
70877,73882,343,12
67768,67776,468,8
64660,64666,429,8
71045,71062,481,8
61919,427291,494,4
462034,462038,497,8
66417,66437,455,2
464029,482821,445,2
64451,64456,368,4
71316,71324,488,12
71515,427343,476,2
68508,68529,450,8
70427,70457,440,8
65916,65970,383,8
73563,73566,446,8
72719,72732,465,20
71884,71909,484,10
68793,68806,419,6
71597,463776,389,32
65293,65341,471,8
70236,70321,440,4
73429,491786,390,4
72684,72691,420,16
67678,67680,455,8
63980,491454,288,8
69127,423760,462,8
71077,419793,331,8
65700,65710,468,6
70498,70533,492,2
68510,68538,435,4
61553,61571,479,8
66126,421253,463,4
62178,62196,413,6
60644,60651,438,16
61630,483392,350,4
70639,70657,469,10
70341,70351,408,12
72179,483407,488,4
70372,70400,469,8
69335,488097,361,2
71606,71621,444,26
479935,479936,350,2
71073,474405,464,18
72497,72503,457,4
71041,464000,399,8
73501,73505,409,16
63775,69469,382,8
72772,482786,372,8
65791,65904,488,6
70426,482776,452,10
63801,63818,454,8
59964,59968,452,8
72338,73804,453,4
69120,69129,471,8
59692,59697,461,2
72545,72561,472,20
73181,73188,478,4
72480,72487,465,6
72698,72699,387,8
61552,482874,332,6
71522,482775,401,6
60483,60497,409,16
72948,72956,342,4
71101,71128,477,4
66757,66805,418,4
474405,480561,357,22
60681,60695,378,2
73689,420241,451,24
60517,60528,372,8
66880,66906,459,4
66086,66138,379,8
73654,479948,404,6
70393,70436,454,8
72502,74037,463,8
70522,70527,413,14
65387,421033,363,4
71297,73630,432,28
64121,64151,492,6
70993,427174,453,8
70483,70517,316,8
59568,59577,329,16
62820,62868,389,8
65447,65460,398,6
73477,73481,438,6
70855,70870,428,8
65018,65024,444,6
72083,73812,442,4
64594,64613,430,8
63447,416061,386,6
68118,68135,371,8
70187,70222,450,4
63688,495725,445,8
65992,74094,383,8
69474,420144,303,34
70400,73898,459,2
71395,479996,462,6
68740,68742,468,8
464006,482597,371,6
71112,463756,474,2
72125,72145,413,4
70392,70408,379,4
62616,62630,498,4
59876,427821,465,6
70679,70682,465,8
70500,486698,429,4
65214,65233,294,8
64112,64115,453,4
66021,74071,449,4
71242,415749,439,24
71419,474355,464,8
69536,69542,435,8
73068,73076,474,10
62879,62908,412,6
71887,482353,491,6
70356,70393,413,44
72146,72150,414,20
69956,69977,421,8
71321,474152,358,12
60629,60653,437,16
71400,482888,451,10
65434,65456,414,8
68449,68487,464,4
61249,61252,501,2
61580,61592,433,8
68496,68508,470,8
71047,482597,466,12
69852,69866,517,12
63896,73859,351,20
73706,73864,421,16
72598,415632,430,20
72527,72536,489,6
71572,427003,422,12
59943,59964,469,8
64980,64998,460,16
64979,422804,399,8
65153,65158,475,2
71759,71767,394,6
60706,490562,465,6
69898,69944,488,8
71048,412434,470,4
60899,60922,483,6
60547,60562,429,8
71298,71324,459,4
61223,61236,438,4
63297,63307,423,8
72081,462742,495,6
67037,67047,452,16
67755,67759,457,16
68412,68427,434,12
60512,488504,499,2
71882,491793,364,16
71864,463630,439,20
69925,479992,468,6
61394,61395,796,4
62898,62949,482,6
60640,60656,313,8
67893,427129,454,4
63857,69482,492,2
72589,412565,362,16
62206,62208,434,8
69836,69852,682,8
65803,65854,417,8
63351,63360,392,12
68521,68523,385,2
71403,424721,388,40
63895,63916,451,8
62600,67389,381,4
72117,482909,373,12
71203,482799,408,22
64912,481026,494,4
72054,483391,488,4
73155,73157,419,8
62257,62264,425,10
69537,417630,471,6
68807,68825,377,2
63987,63996,358,8
60493,73682,476,8
491395,491444,489,2
63472,63493,400,2
70628,478861,373,10
417679,492927,488,2
72035,72434,475,20
72133,73937,476,4
462604,462611,499,2
65339,65346,401,16
66597,73954,489,4
67700,67721,485,4
70283,70285,372,2
66600,66603,441,8
68000,68001,386,4
72287,479904,412,10
72258,72270,460,6
63485,63512,500,2
62818,62853,480,2
71316,478926,441,12
60843,60854,475,2
65227,72384,501,4
68931,68940,438,8
71512,71530,463,8
73130,73137,487,10
70984,479959,472,8
64031,64039,408,18
71430,478620,364,12
420662,463421,351,2
72949,72955,400,8
72221,72231,436,8
66316,66325,487,2
71601,71610,318,12
69721,69746,453,4
70186,485338,381,10
70241,70260,436,4
60709,60729,367,8
64065,64077,423,4
70248,415640,421,6
65417,65447,479,4
67232,67237,471,8
68335,68360,392,8
72634,72639,375,16
71652,71671,381,8
70547,70551,443,2
64502,64529,378,8
68428,68462,427,8
70765,70768,449,16
70573,70576,453,6
69981,70000,302,8
71840,71859,479,8
68701,73385,287,8
70492,70541,493,2
485765,485778,350,8
73280,490708,422,8
64507,64535,496,2
72002,482791,393,2
62788,62813,379,4
70188,70222,433,12
69585,69603,456,8
64502,64541,362,14
70110,417845,336,4
60207,60215,458,4
61447,61459,419,4
69475,73839,332,8
64435,64445,424,10
71473,73848,379,10
70923,70929,429,12
70449,70494,467,4
72083,72103,449,6
72818,492208,286,8
71700,73647,466,28
73277,73282,424,10
415634,483392,497,2
62396,62410,397,8
73219,73227,416,16
61475,61483,437,8
65625,417701,405,8
68935,68950,477,8
69587,69599,426,8
69525,69527,411,6
70522,494519,449,10
71577,479929,472,2
60879,60881,376,8
66757,66760,435,10
66667,66688,358,6
60649,73805,351,12
68208,68216,386,8
61027,62607,349,4
65905,424931,465,4
64068,64128,501,4
71918,491566,470,2
73476,73488,347,6
64157,419352,499,2
64134,64164,458,14
65966,66037,419,4
67858,487151,395,8
71851,71856,429,10
70099,480754,466,10
62011,461808,416,8
70170,70174,487,2
73557,73559,434,12
62751,62752,479,4
69809,69824,390,2
63047,63100,445,4
71131,71148,427,24
66062,419861,424,6
72760,74015,414,8
69220,69231,419,8
72423,72439,487,6
67546,67549,495,2
72023,482837,376,18
66222,66251,456,2
66285,66293,424,12
73636,482796,390,14
70399,482754,293,4
65333,65378,446,6
60032,60033,475,6
70020,70050,376,8
65825,65873,336,4
68749,68761,482,6
61042,61043,444,8
66383,66404,415,6
71546,72042,393,12
63737,63768,476,4
71365,73880,436,12
59576,485904,472,6
70538,70560,440,6
70461,70473,468,6
63674,63704,436,8
72568,72577,429,4
71265,71283,467,18
71085,71092,470,4
417874,422355,430,8
72107,415644,340,8
71933,71957,480,6
71633,412726,442,8
66260,423648,385,6
72379,72390,479,12
73489,73492,387,8
71905,71919,428,4
66243,73606,460,6
68903,68906,449,4
62125,62137,464,8
66691,493476,493,4
68229,73196,489,6
63147,480003,342,8
67047,67058,471,8
64957,64966,414,2
70942,70943,450,6
70566,486730,259,4
69675,69695,455,4
70158,70162,471,8
71303,73635,442,6
73149,73938,415,4
68018,68022,321,6
73464,73468,385,4
73991,423702,363,12
68033,68037,430,8
69898,69922,313,8
65753,65803,428,6
69666,69698,383,12
69948,69970,383,8
61161,61162,343,8
73634,482794,424,8
480754,480755,412,8
70687,70694,373,24
60410,74109,377,4
71721,73850,290,4
62843,62854,365,16
64174,64183,398,26
63843,477561,501,2
71063,71085,487,4
64293,64309,486,8
62708,62743,385,8
63900,63914,408,6
60135,73786,421,4
70884,71422,404,12
64793,491446,464,2
63453,73726,486,8
70862,70863,479,2
425008,495057,289,2
71072,71091,461,18
66724,66742,431,4
63530,63558,425,8
73936,478350,353,8
73327,73333,423,8
65411,65485,463,6
64226,64233,450,8
64445,64456,398,8
64456,64463,352,4
67280,422211,432,12
71847,71849,356,8
66778,490531,444,8
71012,419795,402,12
65977,66006,361,2
72718,72728,423,8
71128,71132,447,12
70913,70930,476,2
71303,73788,487,12
70234,70245,380,12
69604,69620,446,6
63166,63192,428,8
72521,72529,441,8
65499,65536,451,8
71366,71384,376,20
60302,60339,429,8
70679,70686,378,10
