ARRONDISSEMENT;TYPE;STATUT;ADRESSE;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
75013;Sanisette;En service;117 bd massena;24/24h;Oui;Non;;"{""coordinates"": [2.3640220002201393, 48.81960500001131], ""type"": ""Point""}";48.81960500001131, 2.3640220002201393;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;1 v pl charles vallin;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3026020002043985, 48.83566000042267], ""type"": ""Point""}";48.83566000042267, 2.3026020002043985;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;1 v voie bq/18;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3444070003233, 48.90111799966754], ""type"": ""Point""}";48.90111799966754, 2.3444070003233;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;36 rue de la charbonniere;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3521919996635696, 48.88409599982888], ""type"": ""Point""}";48.88409599982888, 2.3521919996635696;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;2 rue ronsard;24/24h;Oui;Non;;"{""coordinates"": [2.344348000195785, 48.88513800043196], ""type"": ""Point""}";48.88513800043196, 2.344348000195785;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;WC;En service;7 rue girardon;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-suzanne-buisson-2688;"{""coordinates"": [2.3371101598781707, 48.88837160642731], ""type"": ""Point""}";48.88837160642731, 2.3371101598781707;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;129 rue de la glaciere;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3418059999088467, 48.82669999980564], ""type"": ""Point""}";48.82669999980564, 2.3418059999088467;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;2 av de laumiere;24/24h;Oui;Non;;"{""coordinates"": [2.3814320001101352, 48.88303199992398], ""type"": ""Point""}";48.88303199992398, 2.3814320001101352;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75005;Sanisette;En service;9 av des gobelins;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.351201000675956, 48.83796300030022], ""type"": ""Point""}";48.83796300030022, 2.351201000675956;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75014;Sanisette;En service;98 bd arago;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.3368019998211698, 48.83472300000109], ""type"": ""Point""}";48.83472300000109, 2.3368019998211698;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
