ARRONDISSEMENT;TYPE;STATUT;ADRESSE;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
75013;Sanisette;En service;2 av claudius regaud;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.372721000201444, 48.82228900039548], ""type"": ""Point""}";48.82228900039548, 2.372721000201444;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;Sanisette;En service;22 rue gros;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2753980004073235, 48.85125999992028], ""type"": ""Point""}";48.85125999992028, 2.2753980004073235;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75002;Sanisette;En service;83 rue montmartre;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.34381000007998, 48.86744800005651], ""type"": ""Point""}";48.86744800005651, 2.34381000007998;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75002;Sanisette;En service;15 bd saint-denis;24/24h;Oui;Non;;"{""coordinates"": [2.3535109996560086, 48.86941799975518], ""type"": ""Point""}";48.86941799975518, 2.3535109996560086;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;WC;En service;11 square alban satragne;Horaires du parc;Oui;Non;;"{""coordinates"": [2.356122001817729, 48.87581134036737], ""type"": ""Point""}";48.87581134036737, 2.356122001817729;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;Sanisette;En service;116 qu de jemmapes;24/24h;Oui;Non;;"{""coordinates"": [2.363653000580924, 48.874929000173424], ""type"": ""Point""}";48.874929000173424, 2.363653000580924;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75014;Sanisette;En service;2 m pl denfert-rochereau;21h59 - 22h00;Oui;Non;;"{""coordinates"": [2.332134999323913, 48.834812000126654], ""type"": ""Point""}";48.834812000126654, 2.332134999323913;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;2 pl saint-pierre;24/24h;Oui;Non;;"{""coordinates"": [2.344665999897245, 48.88450599960812], ""type"": ""Point""}";48.88450599960812, 2.344665999897245;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75005;WC;En service;20 rue monge;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-paul-langevin-2446;"{""coordinates"": [2.349373388032164, 48.848155306212256], ""type"": ""Point""}";48.848155306212256, 2.349373388032164;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75007;WC;En service;28 rue las cases;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-samuel-rousseau-2467;"{""coordinates"": [2.319582878541188, 48.859172244960064], ""type"": ""Point""}";48.859172244960064, 2.319582878541188;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;Sanisette;En service;169 rue du faubourg saint-martin;06h00 - 23h58;Oui;Non;;"{""coordinates"": [2.3616439994155423, 48.87815499981868], ""type"": ""Point""}";48.87815499981868, 2.3616439994155423;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;Sanisette;En service;1 rue des petits hotels;24/24h;Oui;Non;;"{""coordinates"": [2.3550860001821023, 48.87716500003902], ""type"": ""Point""}";48.87716500003902, 2.3550860001821023;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;8 rue roland barthes;24/24h;Oui;Non;;"{""coordinates"": [2.377441000293956, 48.84446500030273], ""type"": ""Point""}";48.84446500030273, 2.377441000293956;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75014;Sanisette;En service;218 v rue raymond losserand;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3056599996663603, 48.827958000189895], ""type"": ""Point""}";48.827958000189895, 2.3056599996663603;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;17 rue polonceau;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3534120006044774, 48.8856340001017], ""type"": ""Point""}";48.8856340001017, 2.3534120006044774;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75005;Urinoir femme;En service;2 quai saint bernard;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-tino-rossi-1786;"{""coordinates"": [2.3590599814167366, 48.848303078499335], ""type"": ""Point""}";48.848303078499335, 2.3590599814167366;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;6 av courteline;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.4112259998051573, 48.8441029998056], ""type"": ""Point""}";48.8441029998056, 2.4112259998051573;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;57 bd diderot;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.384212000518841, 48.84711699958415], ""type"": ""Point""}";48.84711699958415, 2.384212000518841;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75008;Lavatory;En service;84 av marceau;11h00-19h00;Non;Non;;"{""coordinates"": [2.296062832904191, 48.8730821071864], ""type"": ""Point""}";48.8730821071864, 2.296062832904191;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;WC;En service;93 avenue de l' hippodrome;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-de-bagatelle-1808;"{""coordinates"": [2.246175582871884, 48.870565647115654], ""type"": ""Point""}";48.870565647115654, 2.246175582871884;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;220 bd de la villette;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3673839993875667, 48.88427299956943], ""type"": ""Point""}";48.88427299956943, 2.3673839993875667;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75008;Sanisette;En service;44 bd malesherbes;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.320433000475625, 48.874335999751764], ""type"": ""Point""}";48.874335999751764, 2.320433000475625;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;Sanisette;En service;1 rue de montreuil;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3839940003683404, 48.85042799976941], ""type"": ""Point""}";48.85042799976941, 2.3839940003683404;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;60 v bd saint-marcel;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3556389995511884, 48.83791699997501], ""type"": ""Point""}";48.83791699997501, 2.3556389995511884;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;364 rue lecourbe;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2816640003019857, 48.83623800016424], ""type"": ""Point""}";48.83623800016424, 2.2816640003019857;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;WC;Hors service;2 rue jean formige;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-saint-lambert-1768;"{""coordinates"": [2.2974060618595407, 48.842774535610474], ""type"": ""Point""}";48.842774535610474, 2.2974060618595407;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;WC;En service;41 rue mirabeau;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-sainte-perine-1806;"{""coordinates"": [2.2691726043891225, 48.844844108071605], ""type"": ""Point""}";48.844844108071605, 2.2691726043891225;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;Sanisette;En service;42 rue mirabeau;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2690679997469223, 48.845990000123685], ""type"": ""Point""}";48.845990000123685, 2.2690679997469223;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75017;WC;En service;1 boulevard de la somme;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-sainte-odile-2642;"{""coordinates"": [2.2935815375928916, 48.88785096721723], ""type"": ""Point""}";48.88785096721723, 2.2935815375928916;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;Sanisette;En service;4 rue fernand leger;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.389195000186024, 48.86379599961598], ""type"": ""Point""}";48.86379599961598, 2.389195000186024;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;Sanisette;En service;131 bd de charonne;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3924470002462113, 48.8574710001974], ""type"": ""Point""}";48.8574710001974, 2.3924470002462113;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;Sanisette;En service;54 bd du temple;24/24h;Oui;Non;;"{""coordinates"": [2.365007000217622, 48.86626700040959], ""type"": ""Point""}";48.86626700040959, 2.365007000217622;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75014;WC;En service;28 boulevard jourdan;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [2.336591562073573, 48.82227702153403], ""type"": ""Point""}";48.82227702153403, 2.336591562073573;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75004;Sanisette;En service;2 rue mornay;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.366126999945174, 48.84949300006735], ""type"": ""Point""}";48.84949300006735, 2.366126999945174;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75005;Sanisette;En service;123 rue saint-jacques;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.3439919994121317, 48.84782200009687], ""type"": ""Point""}";48.84782200009687, 2.3439919994121317;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75008;WC;En service;7 rue laure diebold;Horaires du parc;Oui;Non;;"{""coordinates"": [2.304961341601859, 48.87581195724887], ""type"": ""Point""}";48.87581195724887, 2.304961341601859;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75009;Sanisette;En service;79 v rue la fayette;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.346886999517786, 48.87677500038332], ""type"": ""Point""}";48.87677500038332, 2.346886999517786;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;Sanisette;En service;9 qu louis bleriot;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2778989993259198, 48.85084100025581], ""type"": ""Point""}";48.85084100025581, 2.2778989993259198;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;77 bd de clichy;24/24h;Oui;Non;;"{""coordinates"": [2.328972999602953, 48.88421400037466], ""type"": ""Point""}";48.88421400037466, 2.328972999602953;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;60 bd de la chapelle;06h00 - 23h59;Oui;Non;;"{""coordinates"": [2.3551060006538584, 48.88419800002976], ""type"": ""Point""}";48.88419800002976, 2.3551060006538584;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;69 av de flandre;24/24h;Oui;Non;;"{""coordinates"": [2.3739280000810385, 48.888696000220584], ""type"": ""Point""}";48.888696000220584, 2.3739280000810385;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75001;Sanisette;En service;23 bd de sebastopol;24/24h;Oui;Non;;"{""coordinates"": [2.348837000178527, 48.85988000001835], ""type"": ""Point""}";48.85988000001835, 2.348837000178527;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75005;WC;En service;73 boulevard saint germain;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-paul-painleve-2444;"{""coordinates"": [2.3440871652208792, 48.85081103484684], ""type"": ""Point""}";48.85081103484684, 2.3440871652208792;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;Sanisette;En service;44 av philippe-auguste;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.393696000462172, 48.85211699990634], ""type"": ""Point""}";48.85211699990634, 2.393696000462172;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;Sanisette;En service;8 pl leon blum;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.380220999817642, 48.85828900018697], ""type"": ""Point""}";48.85828900018697, 2.380220999817642;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;12 bd de bercy;24/24h;Oui;Non;;"{""coordinates"": [2.378220999802014, 48.83961600028436], ""type"": ""Point""}";48.83961600028436, 2.378220999802014;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;92 rue de lyon;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3702969996401757, 48.85084399988939], ""type"": ""Point""}";48.85084399988939, 2.3702969996401757;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;37 rue charles moureu;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3607159996714113, 48.829127999752224], ""type"": ""Point""}";48.829127999752224, 2.3607159996714113;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;WC;En service;2 place jacques marette;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-georges-brassens-1805;"{""coordinates"": [2.299950907200807, 48.831621530311644], ""type"": ""Point""}";48.831621530311644, 2.299950907200807;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;25 av de lowendal;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3035700001032366, 48.849187999731], ""type"": ""Point""}";48.849187999731, 2.3035700001032366;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;WC;En service;8 rue des recollets;Horaires du parc;Non;Oui;https://www.paris.fr/lieux/jardin-villemin-1798;"{""coordinates"": [2.36058658232068, 48.87495187559819], ""type"": ""Point""}";48.87495187559819, 2.36058658232068;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75017;Sanisette;En service;24 pl charles fillion;24/24h;Oui;Non;;"{""coordinates"": [2.3157870003157077, 48.888480999620306], ""type"": ""Point""}";48.888480999620306, 2.3157870003157077;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75017;WC;En service;57 rue bayen;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-olave-et-robert-baden-powell-ex-bayen-2630;"{""coordinates"": [2.2906140246442765, 48.88215739533499], ""type"": ""Point""}";48.88215739533499, 2.2906140246442765;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75004;Sanisette;En service;8 rue d'arcole;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3493969996309874, 48.85402499987285], ""type"": ""Point""}";48.85402499987285, 2.3493969996309874;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75008;Sanisette;En service;4 bd malesherbes;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3231299994343995, 48.87058299996762], ""type"": ""Point""}";48.87058299996762, 2.3231299994343995;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75017;Sanisette;En service;31 rue laugier;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2955319997723596, 48.88150300016054], ""type"": ""Point""}";48.88150300016054, 2.2955319997723596;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;WC;En service;1 rue le vau;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-severine-1776;"{""coordinates"": [2.4097694489250627, 48.865186750587874], ""type"": ""Point""}";48.865186750587874, 2.4097694489250627;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;27 av d'ivry;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.366831000158784, 48.822675000277414], ""type"": ""Point""}";48.822675000277414, 2.366831000158784;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;1 v av emile zola;24/24h;Oui;Non;;"{""coordinates"": [2.2775840006165198, 48.84624299973706], ""type"": ""Point""}";48.84624299973706, 2.2775840006165198;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;Sanisette;En service;4 pl de la porte d'auteuil;24/24h;Oui;Non;;"{""coordinates"": [2.2571669993722003, 48.84845599967594], ""type"": ""Point""}";48.84845599967594, 2.2571669993722003;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;Sanisette;En service;3 rue belgrand;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.4007799997498127, 48.864860999801245], ""type"": ""Point""}";48.864860999801245, 2.4007799997498127;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75002;Sanisette;En service;23 pl de la bourse;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.340639000086698, 48.86893600009567], ""type"": ""Point""}";48.86893600009567, 2.340639000086698;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75006;Sanisette;En service;58b bd saint-michel;24/24h;Oui;Non;;"{""coordinates"": [2.3400460002316805, 48.84613600025297], ""type"": ""Point""}";48.84613600025297, 2.3400460002316805;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75008;Sanisette;En service;4 av franklin d. roosevelt;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3102040005778934, 48.87015400026656], ""type"": ""Point""}";48.87015400026656, 2.3102040005778934;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;9 imp alexandre lecuyer;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3417379994179384, 48.89777199983381], ""type"": ""Point""}";48.89777199983381, 2.3417379994179384;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;32 av corentin cariou;24/24h;Oui;Non;;"{""coordinates"": [2.3856649999545296, 48.89731199959006], ""type"": ""Point""}";48.89731199959006, 2.3856649999545296;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75001;Sanisette;En service;1 rue de la lingerie;24/24h;Oui;Non;;"{""coordinates"": [2.3464810005605803, 48.86027099976448], ""type"": ""Point""}";48.86027099976448, 2.3464810005605803;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;111 v av de nogent;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.4410950000563707, 48.84416299993688], ""type"": ""Point""}";48.84416299993688, 2.4410950000563707;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;54 bd de picpus;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.401883000548471, 48.843692999864764], ""type"": ""Point""}";48.843692999864764, 2.401883000548471;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;283 rue de charenton;06h00 - 23h58;Oui;Non;;"{""coordinates"": [2.3935230005132726, 48.8347220001264], ""type"": ""Point""}";48.8347220001264, 2.3935230005132726;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;Sanisette;En service;224 av de versailles;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2586289995600968, 48.83839599968173], ""type"": ""Point""}";48.83839599968173, 2.2586289995600968;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Urinoir;En service;10 rue jean cocteau;24/24h;Oui;Oui;;"{""coordinates"": [2.349905244334732, 48.90033113067889], ""type"": ""Point""}";48.90033113067889, 2.349905244334732;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;Sanisette;En service;137 rue de la roquette;06h00 - 23h58;Oui;Non;;"{""coordinates"": [2.383949000681867, 48.858680999851344], ""type"": ""Point""}";48.858680999851344, 2.383949000681867;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;WC;En service;1 rue jules verne;Horaires du parc;Oui;Oui;https://www.paris.fr/lieux/square-jules-verne-2841;"{""coordinates"": [2.375293808714896, 48.8700197118485], ""type"": ""Point""}";48.8700197118485, 2.375293808714896;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;118 bd de clichy;24/24h;Oui;Non;;"{""coordinates"": [2.330284000482643, 48.88440200017035], ""type"": ""Point""}";48.88440200017035, 2.330284000482643;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;WC;En service;24 rue robert et sonia delaunay;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-damia-2734;"{""coordinates"": [2.3940091345940764, 48.8547522462135], ""type"": ""Point""}";48.8547522462135, 2.3940091345940764;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;Sanisette;En service;114 rue des pyrenees;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.4045350000751977, 48.857055000000464], ""type"": ""Point""}";48.857055000000464, 2.4045350000751977;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75011;Sanisette;En service;123 bd richard lenoir;24/24h;Oui;Non;;"{""coordinates"": [2.3693620003229823, 48.86582400035271], ""type"": ""Point""}";48.86582400035271, 2.3693620003229823;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;32 bd diderot;23h58 - 23h59;Oui;Non;;"{""coordinates"": [2.37656199946577, 48.846122000363245], ""type"": ""Point""}";48.846122000363245, 2.37656199946577;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;92 rue de tolbiac;06h00 - 23h58;Oui;Non;;"{""coordinates"": [2.364581000006739, 48.826838999890526], ""type"": ""Point""}";48.826838999890526, 2.364581000006739;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75018;Sanisette;En service;1 pl louis baillot;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.354604000147833, 48.890484999699346], ""type"": ""Point""}";48.890484999699346, 2.354604000147833;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75004;Sanisette;En service;130 rue saint-martin;24/24h;Oui;Non;;"{""coordinates"": [2.3513150004040457, 48.8607969998681], ""type"": ""Point""}";48.8607969998681, 2.3513150004040457;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75009;WC;En service;3 place d' anvers;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-d-anvers-2468;"{""coordinates"": [2.3441329532517114, 48.88238662077099], ""type"": ""Point""}";48.88238662077099, 2.3441329532517114;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;4 pl de l'abbe georges henocque;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.35310099937436, 48.824060999722725], ""type"": ""Point""}";48.824060999722725, 2.35310099937436;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;WC;En service;17 allee de la deuxieme db;Horaires du parc;Non;Non;https://www.paris.fr/lieux/jardin-atlantique-1775;"{""coordinates"": [2.3196854418888537, 48.83980953562733], ""type"": ""Point""}";48.83980953562733, 2.3196854418888537;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;25 rue du tunnel;24/24h;Oui;Non;;"{""coordinates"": [2.3844280005447898, 48.87937300037187], ""type"": ""Point""}";48.87937300037187, 2.3844280005447898;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75010;Sanisette;En service;53 qu de valmy;24/24h;Oui;Non;;"{""coordinates"": [2.3658410001675967, 48.870289999998704], ""type"": ""Point""}";48.870289999998704, 2.3658410001675967;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75012;Sanisette;En service;6 rue ernest lavisse;08h00 - 19h30;Oui;Non;;"{""coordinates"": [2.4099140000081043, 48.8419809997397], ""type"": ""Point""}";48.8419809997397, 2.4099140000081043;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;Sanisette;En service;202 rue de la convention;24/24h;Oui;Non;;"{""coordinates"": [2.2968000000475284, 48.83716199962859], ""type"": ""Point""}";48.83716199962859, 2.2968000000475284;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;44 rue cesaria evora;21h59 - 22h00;Oui;Non;;"{""coordinates"": [2.37659900036232, 48.89770400022884], ""type"": ""Point""}";48.89770400022884, 2.37659900036232;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75019;Sanisette;En service;1 rue du maroc;24/24h;Oui;Non;;"{""coordinates"": [2.3703740004690315, 48.885789999828496], ""type"": ""Point""}";48.885789999828496, 2.3703740004690315;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75004;WC;En service;1 place des vosges;Horaires du parc;Non;Non;https://www.paris.fr/lieux/square-louis-xiii-36;"{""coordinates"": [2.365276627759591, 48.85522108096124], ""type"": ""Point""}";48.85522108096124, 2.365276627759591;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75013;Sanisette;En service;24 v pl jeanne d'arc;24/24h;Oui;Non;;"{""coordinates"": [2.368977999556735, 48.82978900039544], ""type"": ""Point""}";48.82978900039544, 2.368977999556735;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75015;WC;En service;2 rue de la montagne de la fage;Horaires du parc;Non;Non;https://www.paris.fr/lieux/parc-andre-citroen-1791;"{""coordinates"": [2.2790591009497088, 48.84038080012922], ""type"": ""Point""}";48.84038080012922, 2.2790591009497088;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75016;Sanisette;En service;105 rue chardon-lagache;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2630849998625098, 48.83985200043711], ""type"": ""Point""}";48.83985200043711, 2.2630849998625098;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75017;Sanisette;En service;4 av niel;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.294483000629384, 48.87893599967904], ""type"": ""Point""}";48.87893599967904, 2.294483000629384;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
75020;WC;En service;45 rue des couronnes;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-des-couronnes-2748;"{""coordinates"": [2.385561775235243, 48.87045899931411], ""type"": ""Point""}";48.87045899931411, 2.385561775235243;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
