accId,zdc,label,numero,lat,lon,estEntree,estSortie
50148638,63175,"r. de la Gare",1,48.71765680984785,2.246414286977634,true,true
50148639,63175,"bd Bara",2,48.71753654037561,2.245885886927366,true,true
50170264,59843,"Chemin du Champ de course / Parking",,48.534874613044714,1.995187805358981,true,true
50170458,59843,"Parking - chemin du Champ de Course",,48.53522484326163,1.9951133621248878,true,true
50170597,62977,"pl. de la Gare",,48.70208353465469,2.2944046598452927,true,true
50170368,62977,"Entrée / Sortie",,48.70211204363866,2.2946624680375116,true,true
50148647,62951,"r. de Madrid",1,48.70078760677972,2.099257957559743,true,true
50148772,62951,"r. Fernand Léger",2,48.700968920033375,2.0994450809385063,true,true
50148645,62825,"av. du Maréchal Foch",1,48.69491686847362,2.1524455992363802,true,true
50148789,62825,"av. des Tilleuls",2,48.69507044159343,2.152538221763639,true,true
50148245,71054,"r. Rieux",6,48.834570094742645,2.2459230477516092,true,true
50148244,71054,"av. André Morizet",5,48.83355156245804,2.2427226474015405,true,true
50148246,71054,"r. Danjou",7,48.83429225705507,2.2460769271079952,true,true
50148241,71054,"av. Édouard Vaillant",3,48.83372377478438,2.244354965316021,true,true
50148240,71054,"av. Victor Hugo",1,48.83401968243555,2.2442144400024153,false,true
50148243,71054,"r. des Quatre Cheminées",4,48.83328289407771,2.242903654452821,true,true
50148242,71054,"pl. Marcel Sembat",2,48.833596065381656,2.244070723888002,true,true
50147978,71347,"av. de Friedland",2,48.87406606590642,2.296969581761145,true,true
50170084,61630,"av. de la Gare",,48.43047063575677,2.753182178023791,true,true
50170085,61630,"av. de la Gare",,48.43034471485257,2.7531962878097502,true,true
50171317,61630,"rte d'Héricy",,48.43023599876496,2.7528318037089483,true,true
50171318,61630,"rte d'Héricy",,48.430452052168626,2.7528983793773927,true,true
50170094,61410,"av. de la Gare",,48.37823608602445,2.800937671899916,true,true
50170271,61410,"Chemin pieton",,48.37876358808834,2.7989774403536907,true,true
50170093,61410,"av. de la Gare",,48.37840451970054,2.7994514868097484,true,true
50170577,61318,"pl. de la Gare",,48.332730729842154,2.692178384334881,true,true
50170578,61318,"pl. de la Gare",,48.33284874227133,2.692582494964248,true,true
50170752,61327,"pl.du 19 mars 1962",,48.33661238607229,2.7387380226015807,true,true
50170662,61327,"pl. du 19 mars 1962",,48.33662081718411,2.7384815892268635,true,true
50171274,61327,"r. Raoul Jacobe",,48.3362974021663,2.7386991030915735,true,true
50170047,61145,"Accès voie 1",,48.230728426431845,2.703493479723787,true,true
50170050,61145,"Accès voie 2",,48.230467021139255,2.703306408657707,true,true
50170164,61094,"av. du Foyer",,48.18146877806542,2.735509597245456,true,true
50170163,61094,"av. du Foyer",,48.18137846663534,2.7353620487437116,true,true
50170843,61094,"r. de la République",,48.181908653385086,2.735049932372198,true,true
50170844,61094,"r. de la République",,48.18178283263896,2.7351178372738123,true,true
50171291,59531,"r. Salvator Allende",1,48.42760369888654,2.1452803143191375,true,true
50170099,67917,"av. de la Gare",,48.80861739787446,2.9930012141865423,true,true
50170100,67917,"av. de la Gare",,48.808500489035985,2.993137392718046,true,true
50170101,67917,"av. de la Gare",,48.80850050209961,2.9933688695498617,true,true
50170478,62139,"Parking Route de Champbenoist",,48.55551977268405,3.303181054336066,true,true
50170197,62139,"av. Jean Jaurès",,48.55576351286343,3.302843695932753,true,true
50170198,62139,"av. Jean Jaurès",,48.55570871170692,3.303168596416748,true,true
50170196,62139,"av. Jean Jaurès",,48.55569254911384,3.3024503154213,true,true
50170807,62471,"r. de la Gare",,48.64468598406777,2.824913299517083,true,true
50170557,62351,"pl. de la Gare",,48.614080026677904,2.887933558185868,true,true
50170558,62351,"pl. de la Gare",,48.61386457788059,2.888395252336679,true,true
50170559,62351,"pl. de la Gare",,48.613604101178666,2.888802775829811,true,true
50170138,62064,"av. de Poigny",,48.54563647368572,3.287530034465167,true,true
50171296,61961,"r. Victor Hugo",,48.5295613279515,3.2559657940816313,true,true
