route_label,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
22,71084,71090,Porte de Saint-Cloud,Versailles - Chardon Lagache,60,378
22,71243,73657,Ranelagh,Jasmin,120,193
22,71141,71166,Chardon Lagache,Église d'Auteuil,120,192
22,71346,73690,Miromesnil,Saint-Augustin,120,385
22,474150,71243,La Muette,Ranelagh,60,192
22,71109,71121,Versailles - Exelmans,Victorien Sardou,60,193
22,71263,71285,Scheffer,Trocadéro,120,385
22,71205,71229,Assomption - Radio France,Boulainvilliers,90,192
22,474150,71255,La Muette,Place Possoz,60,384
22,71166,71181,Église d'Auteuil,Perrichont,60,192
22,71121,71136,Victorien Sardou,Wilhem - Versailles,60,193
22,71260,71263,La Tour,Scheffer,60,385
22,71162,71166,Mirabeau,Église d'Auteuil,60,193
22,71183,73657,George Sand - La Fontaine,Jasmin,120,193
22,71123,71141,Jouvenet / Exelmens,Chardon Lagache,60,192
22,71136,71162,Wilhem - Versailles,Mirabeau,60,164
22,71090,71109,Versailles - Chardon Lagache,Versailles - Exelmans,60,193
22,71301,71312,Boissière,Kléber - Paul Valéry,60,220
22,71343,73643,Friedland - Haussmann,Haussmann - Courcelles,60,367
22,71255,71260,Place Possoz,La Tour,60,352
22,71166,71183,Église d'Auteuil,George Sand - La Fontaine,60,193
22,71341,71343,Balzac,Friedland - Haussmann,60,273
22,415738,71181,Théophile Gautier - Rue Gros,Perrichont,60,192
22,474150,71229,La Muette,Boulainvilliers,60,192
22,415738,482826,Théophile Gautier - Rue Gros,Place du Docteur Hayem - Radio France,90,192
22,482826,71205,Place du Docteur Hayem - Radio France,Assomption - Radio France,60,96
24,71135,73626,Gare d'Austerlitz,Gare de Lyon,120,422
24,71115,71135,Buffon - Jardin des Plantes,Gare d'Austerlitz,180,451
24,71092,71135,Saint-Marcel,Gare d'Austerlitz,120,422
24,71637,73626,Quai de la Rapée,Gare de Lyon,180,451
24,70579,70648,Pont de Charenton,Charenton - Écoles,240,422
24,426134,70666,Pont National - Quai de Bercy,Centre Commercial de Charenton-le-Pont,120,451
24,70594,70631,Les Berges de Charenton,Pont Nelson Mandela,120,873
24,71589,71607,Dijon - Lachambeaudie / Cour Saint-Émilion,Bercy,120,873
24,70579,70634,Pont de Charenton,Verdun,120,451
24,70666,73900,Centre Commercial de Charenton-le-Pont,Port aux Lions,60,873
24,480550,73626,Ministère de l'Economie et des Finances / Gare de Lyon,Gare de Lyon,180,873
24,70522,70579,École Vétérinaire de Maisons-Alfort,Pont de Charenton,120,871
24,70634,70648,Verdun,Charenton - Écoles,120,451
24,71076,71085,Les Gobelins,Saint-Marcel - Jeanne D'Arc,120,422
24,426134,481111,Pont National - Quai de Bercy,Terroirs de France,60,451
24,71135,71637,Gare d'Austerlitz,Quai de la Rapée,180,451
24,71082,71098,Monge - Claude Bernard,Berthollet - Vauquelin,120,873
24,70588,70648,Victor Hugo,Charenton - Écoles,60,867
24,463756,71152,Musée et Institut Curie,Panthéon,180,451
24,71085,71092,Saint-Marcel - Jeanne D'Arc,Saint-Marcel,120,422
24,71130,71161,Saint-Jacques - Gay-Lussac,Luxembourg,120,422
24,71100,71105,Censier - Daubenton,Buffon - La Mosquée,120,451
24,480550,71607,Ministère de l'Economie et des Finances / Gare de Lyon,Bercy,60,873
24,463756,71112,Musée et Institut Curie,Feuillantines / Ecole Normale Supérieure,120,451
24,70588,70594,Victor Hugo,Les Berges de Charenton,120,873
