Nom de l'arrêt;Coordonnées OSM;ArTGeopoint;ID ArR;id_arr;ArTId;Code de ligne (OSM);Distance (km);Distance (m);Geo Shape;wheelchair;source:wheelchair;ArTName;Zone de transport;bench;bin;lit;shelter;tactile_paving;FournisseurId;FournisseurName;ArTTown;ArTPostalRegion;ArTPublicCode
Gare de Thun le Paradis;49.0068509,1.9180455;48.8354465461063, 2.132422095620674;"32868;4330";4330;50195000;32;24.7;24700;"{""type"": ""Point"", ""coordinates"": [1.9180455, 49.0068509]}";;;Jules Verne;5;yes;no;yes;yes;yes;528;GRAND VERSAILLES;La Celle-Saint-Cloud;78126;-
Gare de Thun le Paradis;49.0068509,1.9180455;48.83546463058942, 2.1324354187670735;"32868;4330";4330;50230189;32;24.7;24700;"{""type"": ""Point"", ""coordinates"": [1.9180455, 49.0068509]}";;;Jules Verne;5;yes;no;yes;yes;yes;541;DEFENSE SEINE OUEST;La Celle-Saint-Cloud;78126;-
Sidi Brahim;48.8382125,2.3990651;48.85308976153045, 2.2812527538893916;"25518;25528";25528;50230232;"46;46";8.8;8800;"{""type"": ""Point"", ""coordinates"": [2.3990651, 48.8382125]}";yes;STIF 2019-01;Radio France;1;yes;no;yes;yes;no;541;DEFENSE SEINE OUEST;Paris 16e;75116;-
Santé Pôle;48.5565245,2.6426552;48.499328132416196, 2.58020438992791;"427307;474159";427307;50169552;"B;D;O;L";7.86;7860;"{""type"": ""Point"", ""coordinates"": [2.6426552, 48.5565245]}";no;STIF 2019-01;CC Villiers-en-Bière;5;yes;yes;yes;yes;yes;518;GRAND MELUN;Villiers-en-Bière;77518;-
Les Coquettes;48.804329,2.3587019;48.74559491642994, 2.382885494191199;"36731;461142;480133";461142;50147159;131;6.77;6770;"{""type"": ""Point"", ""coordinates"": [2.3587019, 48.804329]}";;;Rue des Quinze Arpents;;;;;;;59;RATP;Orly;94054;-
Les Coquettes;48.804329,2.3587019;48.74559484613846, 2.38287189472503;"36731;461142;480133";461142;50237220;131;6.77;6770;"{""type"": ""Point"", ""coordinates"": [2.3587019, 48.804329]}";;;Rue des Quinze Arpents;;;;;;;547;SEINE ORLY;Orly;94054;-
Gourville;48.5278999,1.7975547;48.5140365084996, 1.7920088256874411;"424221;31662";31662;50200405;;1.6;1600;"{""type"": ""Point"", ""coordinates"": [1.7975547, 48.5278999]}";;;Gourville;5;;;;;;530;CENTRE ET SUD YVELINES;Prunay-en-Yvelines;78506;-
Gourville;48.5278999,1.7975547;48.51455614028363, 1.7917937361387506;"424221;31662";424221;50200404;;1.54;1540;"{""type"": ""Point"", ""coordinates"": [1.7975547, 48.5278999]}";;;Gourville;5;;;;;;530;CENTRE ET SUD YVELINES;Prunay-en-Yvelines;78506;-
Gare de L'Étang - Les Sablons;48.8724332,2.0687847;48.88136017385436, 2.0795123457352855;34727;34727;50174104;;1.27;1270;"{""type"": ""Point"", ""coordinates"": [2.0687847, 48.8724332]}";limited;;Gare de Mareil-Marly;5;;;;yes;yes;532;SAINT GERMAIN BOUCLES DE SEINE;Mareil-Marly;78367;-
Autheil;48.7426895,3.1015629;48.74649353750887, 3.0854767429257097;6023;6023;50178753;2A;1.26;1260;"{""type"": ""Point"", ""coordinates"": [3.1015629, 48.7426895]}";;;Autheil;5;;;;;;512;BRIE ET 2 MORIN;Beautheil-Saints;77433;-
Autheil;48.7428031,3.1014642;48.746520295403705, 3.085789589726696;6022;6022;50178752;2A;1.22;1220;"{""type"": ""Point"", ""coordinates"": [3.1014642, 48.7428031]}";;;Autheil;5;;;;;;512;BRIE ET 2 MORIN;Beautheil-Saints;77433;-
Collège de la Mauldre;48.9044741,1.8587547;48.91272705141192, 1.85306914304777;32401;32401;50201263;"13;28;34;38;511;512";1.01;1010;"{""type"": ""Point"", ""coordinates"": [1.8587547, 48.9044741]}";;;Paul Barré;;;;;yes;;530;CENTRE ET SUD YVELINES;Maule;78380;-
Collège de la Mauldre;48.9044741,1.8587547;48.91265550883687, 1.8531116546505446;32401;32401;50164927;"13;28;34;38;511;512";1.0;1000;"{""type"": ""Point"", ""coordinates"": [1.8587547, 48.9044741]}";;;Paul Barré;;;;;yes;;535;MANTOIS;Maule;78380;-
Saint-Cyr la Rivière;48.3484628,2.1519571;48.35499172576581, 2.148390131553739;12020;12020;50239650;10-19;0.77;770;"{""type"": ""Point"", ""coordinates"": [2.1519571, 48.3484628]}";;;St-Cyr-La-Rivière;5;;;;;;524;ESSONNE SUD OUEST;Saint-Cyr-la-Rivière;91544;-
Saint-Cyr la Rivière;48.348562,2.151781;48.35511699598805, 2.148293606162048;12019;12019;50239651;10-19;0.77;770;"{""type"": ""Point"", ""coordinates"": [2.151781, 48.348562]}";;;St-Cyr-La-Rivière;5;;;;;;524;ESSONNE SUD OUEST;Saint-Cyr-la-Rivière;91544;-
Saint-Cyr la Rivière;48.348562,2.151781;48.35508101042682, 2.1482941885612594;12019;12019;50174615;10-19;0.77;770;"{""type"": ""Point"", ""coordinates"": [2.151781, 48.348562]}";;;Saint Cyr la Rivière Mairie;5;;;;;;900;EX DSP 24;Saint-Cyr-la-Rivière;91544;-
Saint-Cyr la Rivière;48.3484628,2.1519571;48.35494674380936, 2.1483908594683943;12020;12020;50174616;10-19;0.77;770;"{""type"": ""Point"", ""coordinates"": [2.1519571, 48.3484628]}";;;Saint Cyr la Rivière Mairie;5;;;;;;900;EX DSP 24;Saint-Cyr-la-Rivière;91544;-
Petit Peugny;48.4329264,3.251151;48.428519629772524, 3.258907164654093;7132;7132;50193862;116;0.75;750;"{""type"": ""Point"", ""coordinates"": [3.251151, 48.4329264]}";yes;STIF 2018-07;Grand Peugny;5;;;;;;514;PROVINOIS – BRIE ET SEINE;Mouy-sur-Seine;77325;-
Plateau;48.4945681,2.7738981;48.49274029768182, 2.765395151720566;30350;30350;50191447;44;0.66;660;"{""type"": ""Point"", ""coordinates"": [2.7738981, 48.4945681]}";no;STIF 2019-01;Plateau;5;;;;no;;516;FONTAINEBLEAU - MORET;Le Châtelet-en-Brie;77100;-
Plateau;48.4944935,2.7739785;48.49275028148395, 2.7658958805150355;30351;30351;50191446;44;0.63;630;"{""type"": ""Point"", ""coordinates"": [2.7739785, 48.4944935]}";no;STIF 2019-01;Plateau;5;;;;no;;516;FONTAINEBLEAU - MORET;Fontaine-le-Port;77188;-
Route de Melun - RD 436;48.8622158,2.8558056;48.85699074347007, 2.85880394205987;10590;10590;50179651;"12;13B";0.62;620;"{""type"": ""Point"", ""coordinates"": [2.8558056, 48.8622158]}";no;STIF 2018-07;Rond-Point RD 436;5;;;;;;512;BRIE ET 2 MORIN;Coutevroult;77141;-
Lycée Léonard de Vinci;48.8921587,2.0647178;48.897396412282816, 2.0622191280387367;34898;34898;50203791;"R6;14;R1";0.61;610;"{""type"": ""Point"", ""coordinates"": [2.0647178, 48.8921587]}";yes;;Lycée Léonard de Vinci;4;yes;yes;;yes;;502;CERGY-PONTOISE CONFLUENCE;Saint-Germain-en-Laye;78551;-
Fernand Fourcade;48.7760551,2.260091;48.78014433943494, 2.2554876784327687;12097;12097;50175432;;0.57;570;"{""type"": ""Point"", ""coordinates"": [2.260091, 48.7760551]}";;;Carreau - Garnier;;no;no;no;no;no;537;BIEVRE;Le Plessis-Robinson;92060;-
Centre - Rue de Paris;48.7817468,3.3045677;48.78627257704843, 3.302330412606704;8592;8592;50178757;17;0.53;530;"{""type"": ""Point"", ""coordinates"": [3.3045677, 48.7817468]}";no;STIF 2019-01;Avenue de Rebais;5;;;;;;512;BRIE ET 2 MORIN;La Ferté-Gaucher;77182;-
Centre - Rue de Paris;48.7818264,3.3045936;48.78627257704843, 3.302330412606704;8592;8592;50178757;17;0.52;520;"{""type"": ""Point"", ""coordinates"": [3.3045936, 48.7818264]}";no;STIF 2019-01;Avenue de Rebais;5;;;;;;512;BRIE ET 2 MORIN;La Ferté-Gaucher;77182;-
Montjay;48.6836793,2.1591996;48.67959000447237, 2.1627322376486715;"11349;11327";11327;50175908;"3;4";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.1591996, 48.6836793]}";no;STIF 2019-01;Thomas;5;yes;yes;yes;yes;no;526;PARIS SACLAY;Les Ulis;91692;-
Maisons-Alfort - Alfortville Noctilien;48.8031584,2.433884;48.80164199068545, 2.427165142972438;411300;411300;50180676;"N132;N134";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.433884, 48.8031584]}";;;Gare de Maisons-Alfort Alfortville;3;yes;no;yes;yes;no;520;VAL D’YERRES VAL DE SEINE;Maisons-Alfort;94046;-
Montjay;48.6836793,2.1591996;48.67958962297517, 2.1626779098473117;"11349;11327";11327;50184523;"3;4";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.1591996, 48.6836793]}";no;STIF 2019-01;Thomas;5;yes;yes;yes;yes;no;100;PARISSACLAYMOBILITES;Les Ulis;91692;-
Maisons-Alfort - Alfortville Noctilien;48.8031584,2.433884;48.80164186019426, 2.4271379147011283;411300;411300;50211324;"N132;N134";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.433884, 48.8031584]}";;;Gare de Maisons Alfort Alfortville;3;yes;no;yes;yes;no;516;FONTAINEBLEAU - MORET;Maisons-Alfort;94046;-
Maisons-Alfort - Alfortville Noctilien;48.8031584,2.433884;48.80160595178739, 2.427151923908931;411300;411300;50118867;"N132;N134";0.52;520;"{""type"": ""Point"", ""coordinates"": [2.433884, 48.8031584]}";;;Maisons-Alfort - Alfortville;3;yes;no;yes;yes;no;1;SNCF;Alfortville;94002;-
Le Mousseau;48.7378722,1.9735661;48.74087098666655, 1.9683905593378914;4587;4587;50200772;39-17;0.51;510;"{""type"": ""Point"", ""coordinates"": [1.9735661, 48.7378722]}";yes;STIF 2018-07;Le Mousseau;5;;;;;;530;CENTRE ET SUD YVELINES;Le Mesnil-Saint-Denis;78397;-
Lycée Blaise Pascal RD 319;48.7020958,2.5982129;48.698068810028246, 2.595226132651755;16199;16199;50187014;"3102;3106;3114;3121;3148";0.5;500;"{""type"": ""Point"", ""coordinates"": [2.5982129, 48.7020958]}";;;Parking Lycée Blaise Pascal;5;yes;;;yes;;513;PAYS BRIARD;Brie-Comte-Robert;77053;-
Hauts de Limay;49.0083338,1.7348612;49.00448510721766, 1.7382856983439376;"18404;423380;13851;13852";13851;50089541;"10;16;7;L;A";0.5;500;"{""type"": ""Point"", ""coordinates"": [1.7348612, 49.0083338]}";no;STIF 2019-01;Hauts de Limay;5;;;;;yes;535;MANTOIS;Limay;78335;-
ZA Fontaine des Tournelles;49.0390063,2.6858572;49.03955102459839, 2.6925703076950813;423756;423756;50196107;;0.49;490;"{""type"": ""Point"", ""coordinates"": [2.6858572, 49.0390063]}";;;Les Tournelles;5;;;;;;508;ROISSY EST;Saint-Mard;77420;-
Le Mousseau;48.7375779,1.9737629;48.74034190568803, 1.9685778064828237;4588;4588;50200771;39-17;0.49;490;"{""type"": ""Point"", ""coordinates"": [1.9737629, 48.7375779]}";yes;STIF 2018-07;Le Mousseau;5;;;;;;530;CENTRE ET SUD YVELINES;Le Mesnil-Saint-Denis;78397;-
Grande Rue;48.3870088,2.4724938;48.39035484739275, 2.468226363481297;7357;7357;50182297;"4342;4346;4349";0.49;490;"{""type"": ""Point"", ""coordinates"": [2.4724938, 48.3870088]}";yes;STIF 2018-07;Saint-Pierre;5;;;;;;531;ESSONE SUD EST;Oncy-sur-École;91463;-
Les Morandières;48.420433,2.0614997;48.41935348406345, 2.055138878034493;2956;2956;50174729;;0.49;490;"{""type"": ""Point"", ""coordinates"": [2.0614997, 48.420433]}";;;Les Morandières;5;;;;;;900;EX DSP 24;Chalo-Saint-Mars;91130;-
La Touche;48.761966,3.1194;48.76191356129578, 3.112846319598866;6026;6026;50179212;2A;0.48;480;"{""type"": ""Point"", ""coordinates"": [3.1194, 48.761966]}";;;La Touche;5;;;;;;512;BRIE ET 2 MORIN;Beautheil-Saints;77433;-
Alligator;49.0393595,1.6346762;49.040992433046554, 1.6406593987437073;12584;12584;50095318;;0.47;470;"{""type"": ""Point"", ""coordinates"": [1.6346762, 49.0393595]}";no;STIF 2018-07;Alligator;5;;;;;;535;MANTOIS;Méricourt;78391;-
Vallée Colleau;48.3227756,2.0996087;48.32698610237443, 2.099041974762933;"20176;20178";20176;50175029;25;0.47;470;"{""type"": ""Point"", ""coordinates"": [2.0996087, 48.3227756]}";yes;STIF 2018-07;La Source;5;;;;;;900;EX DSP 24;Mérévillois;91390;-
Vallée Colleau;48.3227756,2.0996087;48.327014939446634, 2.0992843487466506;"20176;20178";20178;50239213;25;0.47;470;"{""type"": ""Point"", ""coordinates"": [2.0996087, 48.3227756]}";yes;STIF 2018-07;La Source;5;;;;;;524;ESSONNE SUD OUEST;Mérévillois;91390;-
Vallée Colleau;48.3228285,2.0998415;48.32697710585978, 2.099042128699778;20176;20176;50074706;25;0.47;470;"{""type"": ""Point"", ""coordinates"": [2.0998415, 48.3228285]}";;;Vallée Colleau;5;;;;;;14;LUG - PARIS;Mérévillois;91390;-
Vallée Colleau;48.3228285,2.0998415;48.32698610237443, 2.099041974762933;20176;20176;50175029;25;0.47;470;"{""type"": ""Point"", ""coordinates"": [2.0998415, 48.3228285]}";;;La Source;5;;;;;;900;EX DSP 24;Mérévillois;91390;-
Vallée Colleau;48.3227756,2.0996087;48.32697710585978, 2.099042128699778;"20176;20178";20176;50074706;25;0.47;470;"{""type"": ""Point"", ""coordinates"": [2.0996087, 48.3227756]}";yes;STIF 2018-07;Vallée Colleau;5;;;;;;14;LUG - PARIS;Mérévillois;91390;-
Vallée Colleau;48.3227756,2.0996087;48.3269962279931, 2.0991902204255446;"20176;20178";20178;50074708;25;0.47;470;"{""type"": ""Point"", ""coordinates"": [2.0996087, 48.3227756]}";yes;STIF 2018-07;Vallée Colleau;5;;;;;;14;LUG - PARIS;Mérévillois;91390;-
Vallée Colleau;48.3227756,2.0996087;48.3269962279931, 2.0991902204255446;"20176;20178";20178;50175028;25;0.47;470;"{""type"": ""Point"", ""coordinates"": [2.0996087, 48.3227756]}";yes;STIF 2018-07;La Source;5;;;;;;900;EX DSP 24;Mérévillois;91390;-
Vallée Colleau;48.3227756,2.0996087;48.32687855479864, 2.099097785371751;"20176;20178";20176;50239212;25;0.46;460;"{""type"": ""Point"", ""coordinates"": [2.0996087, 48.3227756]}";yes;STIF 2018-07;La Source;5;;;;;;524;ESSONNE SUD OUEST;Mérévillois;91390;-
La Touche;48.7619002,3.1193609;48.7618593917184, 3.1130638686238465;6027;6027;50179213;2A;0.46;460;"{""type"": ""Point"", ""coordinates"": [3.1193609, 48.7619002]}";;;La Touche;5;;;;;;512;BRIE ET 2 MORIN;Beautheil-Saints;77433;-
Cimetière;48.397161,2.454359;48.401235793409555, 2.4532270671383607;12915;12915;50182310;284-002;0.46;460;"{""type"": ""Point"", ""coordinates"": [2.454359, 48.397161]}";yes;STIF 2018-07;Cimetière;5;;;;;;531;ESSONE SUD EST;Milly-la-Forêt;91405;-
Kipling;48.7462579,2.7618546;48.746516938186346, 2.7556462244131392;41552;41552;50187836;3118;0.46;460;"{""type"": ""Point"", ""coordinates"": [2.7618546, 48.7462579]}";no;STIF 2019-01;De Gaulle;5;;;;;;513;PAYS BRIARD;Tournan-en-Brie;77470;-
Petit Villiers;48.9157075,3.2623195;48.91194614270939, 3.2598652831004555;6021;6021;50179866;26;0.46;460;"{""type"": ""Point"", ""coordinates"": [3.2623195, 48.9157075]}";;;Petit Villiers;5;;;;;;512;BRIE ET 2 MORIN;Bassevelle;77024;-
Vallée Colleau;48.3228285,2.0998415;48.32687855479864, 2.099097785371751;20176;20176;50239212;25;0.45;450;"{""type"": ""Point"", ""coordinates"": [2.0998415, 48.3228285]}";;;La Source;5;;;;;;524;ESSONNE SUD OUEST;Mérévillois;91390;-
Rue du Luttin;48.8510696,2.8989227;48.85179322695427, 2.904933864011878;11066;11066;50179704;8B;0.45;450;"{""type"": ""Point"", ""coordinates"": [2.8989227, 48.8510696]}";no;STIF 2018-07;Luttin 1;5;;;;;;512;BRIE ET 2 MORIN;Voulangis;77529;-
Fosses Rouges;49.0094667,1.7310076;49.005891959687, 1.7335354551987254;"18408;13853";18408;50089542;"A;L;7;10";0.44;440;"{""type"": ""Point"", ""coordinates"": [1.7310076, 49.0094667]}";no;STIF 2019-01;Fosses Rouges;5;yes;;;yes;;535;MANTOIS;Limay;78335;-
Pont Chapart;48.999347,1.6324611;48.99580786956767, 1.6348712836882366;20074;20074;50112302;R;0.43;430;"{""type"": ""Point"", ""coordinates"": [1.6324611, 48.999347]}";;;Pont Chapart;5;;;;;;535;MANTOIS;Rosny-sur-Seine;78531;-
Maternelle - Primaire;48.8485904,3.2334448;48.85021671620004, 3.2388031400115134;462090;462090;50178975;;0.43;430;"{""type"": ""Point"", ""coordinates"": [3.2334448, 48.8485904]}";;;Covoiturage;5;;;;;;512;BRIE ET 2 MORIN;Rebais;77385;-
Patinoire;49.0010715,1.6857469;48.99752659082092, 1.6881714728854886;17969;17969;50000028;A;0.43;430;"{""type"": ""Point"", ""coordinates"": [1.6857469, 49.0010715]}";;;Patinoire;5;;;;;;535;MANTOIS;Mantes-la-Jolie;78361;-
Maternelle - Primaire;48.8485236,3.2335074;48.85021671620004, 3.2388031400115134;462090;462090;50178975;;0.43;430;"{""type"": ""Point"", ""coordinates"": [3.2335074, 48.8485236]}";;;Covoiturage;5;;;;;;512;BRIE ET 2 MORIN;Rebais;77385;-
Kipling;48.7462309,2.7614839;48.746454341595744, 2.7558233195395756;41553;41553;50187837;18;0.42;420;"{""type"": ""Point"", ""coordinates"": [2.7614839, 48.7462309]}";no;STIF 2019-01;De Gaulle;5;;;;;;513;PAYS BRIARD;Tournan-en-Brie;77470;-
Alligator;49.0393476,1.6348321;49.040743501396335, 1.6401187489513382;12583;12583;50095317;;0.42;420;"{""type"": ""Point"", ""coordinates"": [1.6348321, 49.0393476]}";no;STIF 2018-07;Alligator;5;;;;;;535;MANTOIS;Méricourt;78391;-
Grande Rue;48.3834041,2.4740944;48.38704485551991, 2.4724471428763284;7353;7353;50182293;284-007;0.42;420;"{""type"": ""Point"", ""coordinates"": [2.4740944, 48.3834041]}";yes;STIF 2018-07;Grande Rue;5;;;;;;531;ESSONE SUD EST;Oncy-sur-École;91463;-
Grande Rue;48.3866375,2.4726578;48.389440657826796, 2.4690055675887863;7358;7358;50182298;"4341;4342;4346;4349";0.41;410;"{""type"": ""Point"", ""coordinates"": [2.4726578, 48.3866375]}";yes;STIF 2018-07;Saint-Pierre;5;;;;;;531;ESSONE SUD EST;Oncy-sur-École;91463;-
Deschamps;49.0359828,1.5751339;49.03236548611581, 1.576028423065467;14750;14750;50165068;"14;3";0.41;410;"{""type"": ""Point"", ""coordinates"": [1.5751339, 49.0359828]}";yes;STIF 2018-07;Deschamps;5;;;;;;535;MANTOIS;Bonnières-sur-Seine;78089;-
Deschamps;49.0358785,1.5751716;49.032265620147555, 1.5759490991777934;14751;14751;50165069;"14;3";0.41;410;"{""type"": ""Point"", ""coordinates"": [1.5751716, 49.0358785]}";yes;STIF 2018-07;Deschamps;5;;;;;;535;MANTOIS;Bonnières-sur-Seine;78089;-
Marché;48.3912157,2.3776708;48.39490686347043, 2.3775718767461385;9252;9252;50182276;284-003;0.41;410;"{""type"": ""Point"", ""coordinates"": [2.3776708, 48.3912157]}";yes;STIF 2018-07;Marché;5;;;;;;531;ESSONE SUD EST;Maisse;91359;-
Marché;48.3912994,2.377619;48.39485160853544, 2.3773293583419766;9251;9251;50182275;284-003;0.4;400;"{""type"": ""Point"", ""coordinates"": [2.377619, 48.3912994]}";yes;STIF 2018-07;Marché;5;;;;;;531;ESSONE SUD EST;Maisse;91359;-
Vernou Marangis;48.4018691,2.8726243;48.39846765419879, 2.870992105638341;"16094;30706";30706;50191358;"210;209";0.4;400;"{""type"": ""Point"", ""coordinates"": [2.8726243, 48.4018691]}";;;Marangis Route de Valence;5;yes;;;yes;;516;FONTAINEBLEAU - MORET;Vernou-la-Celle-sur-Seine;77494;-
Centre Commercial de Pincevent;48.7961108,2.5601614;48.796069558844685, 2.5547559519740672;"427801;37292";427801;50190522;208;0.4;400;"{""type"": ""Point"", ""coordinates"": [2.5601614, 48.7961108]}";yes;STIF 2018-07;Centre Commercial Pince Vent;4;;;;;;521;MARNE ET SEINE;Chennevières-sur-Marne;94019;-
Provenchère;48.44356,2.362633;48.44065597692411, 2.3657801073569806;463467;463467;50182824;205;0.4;400;"{""type"": ""Point"", ""coordinates"": [2.362633, 48.44356]}";no;STIF 2019-01;Provenchères;5;;;;;;531;ESSONE SUD EST;Boutigny-sur-Essonne;91099;-
Mairie de Saulx Marchais;48.8383326,1.8352622;48.838731385490604, 1.8407312529992832;5873;5873;50202767;78 Express;0.4;400;"{""type"": ""Point"", ""coordinates"": [1.8352622, 48.8383326]}";;;Mairie de Saulx-Marchais;5;;;;yes;no;538;LIGNES ILE-DE-FRANCE OUEST;Saulx-Marchais;78588;-
Saint-Jacques;48.4003475,2.4691445;48.39691083456596, 2.467619663428076;37330;37330;50182317;284-007;0.4;400;"{""type"": ""Point"", ""coordinates"": [2.4691445, 48.4003475]}";yes;;Saint-Jacques;5;;;;;;531;ESSONE SUD EST;Milly-la-Forêt;91405;-
Saint-Jacques;48.4003553,2.469039;48.396946092285255, 2.467457186402174;37331;37331;50182316;284-007;0.4;400;"{""type"": ""Point"", ""coordinates"": [2.469039, 48.4003553]}";yes;;Saint-Jacques;5;;;;;;531;ESSONE SUD EST;Milly-la-Forêt;91405;-
Charnoy Lotissement;48.8305672,2.9526086;48.832424715692774, 2.957157131008185;6335;6335;50178894;"39;2F;2E";0.39;390;"{""type"": ""Point"", ""coordinates"": [2.9526086, 48.8305672]}";;;Charnoy Lotissement;5;;;;;;512;BRIE ET 2 MORIN;Guérard;77219;-
Provenchère;48.4437415,2.3625237;48.4407521864975, 2.3652651328021546;463465;463465;50182823;205;0.39;390;"{""type"": ""Point"", ""coordinates"": [2.3625237, 48.4437415]}";no;STIF 2019-01;Provenchères;5;;;;;;531;ESSONE SUD EST;Boutigny-sur-Essonne;91099;-
Charnoy Lotissement;48.8306248,2.9525493;48.8324876450924, 2.957088966531476;6334;6334;50178893;39;0.39;390;"{""type"": ""Point"", ""coordinates"": [2.9525493, 48.8306248]}";;;Charnoy Lotissement;5;;;;;;512;BRIE ET 2 MORIN;Guérard;77219;-
Vernou Marangis;48.4018691,2.8726243;48.39854849133147, 2.870870316161673;"16094;30706";16094;50191356;"210;209";0.39;390;"{""type"": ""Point"", ""coordinates"": [2.8726243, 48.4018691]}";;;Marangis Route de Valence;5;yes;;;yes;;516;FONTAINEBLEAU - MORET;Vernou-la-Celle-sur-Seine;77494;-
Vernou Marangis;48.4018691,2.8726243;48.39854849133147, 2.870870316161673;"16094;30706";16094;50191357;"210;209";0.39;390;"{""type"": ""Point"", ""coordinates"": [2.8726243, 48.4018691]}";;;Marangis Bourg;5;yes;;;yes;;516;FONTAINEBLEAU - MORET;Vernou-la-Celle-sur-Seine;77494;-
Marché de Juvisy;48.6910012,2.3772939;48.69106855770164, 2.382646084128309;"2293;41514";41514;50226600;"285;385;487;488;N22;N133;N135;N144";0.39;390;"{""type"": ""Point"", ""coordinates"": [2.3772939, 48.6910012]}";yes;;Juvisy RER;4;no;yes;yes;no;no;536;MASSY – JUVISY;Juvisy-sur-Orge;91326;-
Saussaie Beauclair - Domus;48.8802065,2.4737968;48.881842048746655, 2.469099387638925;424063;424063;50144907;245;0.39;390;"{""type"": ""Point"", ""coordinates"": [2.4737968, 48.8802065]}";yes;;Coteaux - Beauclair;3;no;;;no;;59;RATP;Rosny-sous-Bois;93064;-
Pointe Mole 2-3;48.9413104,2.2775213;48.943469758916976, 2.2734508097237764;425210;425210;50218870;538;0.38;380;"{""type"": ""Point"", ""coordinates"": [2.2775213, 48.9413104]}";;;Pointe Môle 2-3;3;;;;;;542;BOUCLE NORD DE SEINE;Gennevilliers;92036;-
Montbarbin - Sinoël;48.865335,2.885528;48.86823103374247, 2.8826974862320176;22307;22307;50179472;8A;0.38;380;"{""type"": ""Point"", ""coordinates"": [2.885528, 48.865335]}";no;STIF 2018-07;Sinoël;5;;;;;;512;BRIE ET 2 MORIN;Crécy-la-Chapelle;77142;-
Cœur Mole 2-3;48.9434737,2.2734621;48.9412094410463, 2.2774003904729607;425209;425209;50218869;538;0.38;380;"{""type"": ""Point"", ""coordinates"": [2.2734621, 48.9434737]}";;;Coeur Môle 2-3;3;;;;;;542;BOUCLE NORD DE SEINE;Gennevilliers;92036;-
Grande Rue;48.3834131,2.4739454;48.386649850884986, 2.472640207990987;7354;7354;50182294;284-007;0.37;370;"{""type"": ""Point"", ""coordinates"": [2.4739454, 48.3834131]}";yes;STIF 2018-07;Grande Rue;5;;;;;;531;ESSONE SUD EST;Oncy-sur-École;91463;-
Vergers de la Ranchère;48.8500798,2.016621;48.853120954448144, 2.0185447351673975;14001;14001;50201803;23;0.37;370;"{""type"": ""Point"", ""coordinates"": [2.016621, 48.8500798]}";;;Vergers de la Ranchère;5;;;;;;530;CENTRE ET SUD YVELINES;Saint-Nom-la-Bretèche;78571;-
Val Bréon - Cempac;48.726272,2.829702;48.725336017829754, 2.8344719370057754;21775;21775;50189130;14;0.37;370;"{""type"": ""Point"", ""coordinates"": [2.829702, 48.726272]}";;;Castorama;5;;;;;;513;PAYS BRIARD;Châtres;77104;-
Saussaie Beauclair - Domus;48.8805164,2.4737756;48.88193258130654, 2.4692348226195264;424060;424060;50144908;"245;Titus1";0.37;370;"{""type"": ""Point"", ""coordinates"": [2.4737756, 48.8805164]}";yes;;Coteaux - Beauclair;3;;;;;;59;RATP;Rosny-sous-Bois;93064;-
La Picotière;48.862146,1.600333;48.86232948026524, 1.6053107109977778;35587;35587;50200664;38;0.37;370;"{""type"": ""Point"", ""coordinates"": [1.600333, 48.862146]}";;;La Picotière;5;;;;;;530;CENTRE ET SUD YVELINES;Civry-la-Forêt;78163;-
Planche;48.7340374,3.1514078;48.731870787018444, 3.155147573747045;5985;5985;50179594;;0.37;370;"{""type"": ""Point"", ""coordinates"": [3.1514078, 48.7340374]}";;;Planche;;;;;;;512;BRIE ET 2 MORIN;Amillis;77002;-
Marché de Juvisy;48.6910012,2.3772939;48.69048997164319, 2.3820823064018355;"2293;41514";41514;50181267;"285;385;487;488;N22;N133;N135;N144";0.36;360;"{""type"": ""Point"", ""coordinates"": [2.3772939, 48.6910012]}";yes;;Gare de Juvisy;4;no;yes;yes;no;no;520;VAL D’YERRES VAL DE SEINE;Juvisy-sur-Orge;91326;-
Val Bréon - Cempac;48.726272,2.829702;48.72533588581018, 2.834376774962124;21775;21775;50194202;14;0.36;360;"{""type"": ""Point"", ""coordinates"": [2.829702, 48.726272]}";;;Val Bréon - Cempac;5;;;;;;514;PROVINOIS – BRIE ET SEINE;Châtres;77104;-
P. A. P. M. Sud;48.948938,2.862795;48.94844693430317, 2.8579139721119073;420346;420346;50178529;5;0.36;360;"{""type"": ""Point"", ""coordinates"": [2.862795, 48.948938]}";no;STIF 2018-07;P.A.P.M. Sud;5;;;;;;511;MEAUX ET OURCQ;Villenoy;77513;-
École Départementale;48.777958,2.367627;48.774810543105424, 2.3678434817912475;39784;39784;50237061;N22;0.35;350;"{""type"": ""Point"", ""coordinates"": [2.367627, 48.777958]}";no;STIF 2019-01;École Départementale;3;;;;;;547;SEINE ORLY;Vitry-sur-Seine;94081;-
École Départementale;48.777958,2.367627;48.774810543105424, 2.3678434817912475;39784;39784;50125127;N22;0.35;350;"{""type"": ""Point"", ""coordinates"": [2.367627, 48.777958]}";no;STIF 2019-01;École Départementale;3;;;;;;59;RATP;Vitry-sur-Seine;94081;-
