Nom de l'arrêt;Coordonnées OSM;ArTGeopoint;ID ArR;id_arr;ArTId;Code de ligne (OSM);Distance (km);Distance (m);Geo Shape;wheelchair;source:wheelchair;ArTName;Zone de transport;bench;bin;lit;shelter;tactile_paving;FournisseurId;FournisseurName;ArTTown;ArTPostalRegion;ArTPublicCode
Saint-Maur - Créteil RER;48.8061499,2.4731717;48.80609861778019, 2.4731518499165377;39532;39532;50221290;107;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.4731717, 48.8061499]}";;;Saint-Maur-Créteil RER;3;no;no;no;no;no;545;RATP CAP BOUCLES DE MARNE;Saint-Maur-des-Fossés;94068;-
Gare de Chaville Rive Gauche;48.8046361,2.1881108;48.80456571424682, 2.18814876252834;424731;424731;50193580;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1881108, 48.8046361]}";yes;STIF 2019-01;Gare de Chaville-Rive-Gauche;3;yes;yes;yes;yes;no;24;SAVAC;Chaville;92022;Gare de Chaville-Rive-Gauche
Jacques Amyot;48.5453385,2.6593433;48.54528927632279, 2.659350056101427;21765;21765;50191162;"D;G";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.6593433, 48.5453385]}";no;STIF 2019-01;Jacques Amyot;5;;;;no;;516;FONTAINEBLEAU - MORET;Melun;77288;-
Cesson Gare RER;48.5649418,2.5936791;48.564999331665035, 2.5936652779405915;33243;33243;50011383;"35;62B;63";0.01;10;"{""type"": ""Point"", ""coordinates"": [2.5936791, 48.5649418]}";;;Gare de Cesson;;yes;yes;yes;yes;yes;519;TRANSDEV SENART;Cesson;77067;-
Gare de Savigny Nandy;48.5960937,2.5848069;48.59603014223593, 2.5848267265332945;33547;33547;50118542;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.5848069, 48.5960937]}";yes;STIF 2018-07;Savigny-le-Temple - Nandy;5;;;;yes;;1;SNCF;Savigny-le-Temple;77445;-
Eiffel;48.8913158,2.2942972;48.89128200496817, 2.294364031826269;36331;36331;50230495;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.2942972, 48.8913158]}";;;Eiffel;2;yes;;;yes;;541;DEFENSE SEINE OUEST;Levallois-Perret;92044;-
Brossolette;48.8816743,2.1838479;48.88178341959097, 2.183740509664172;28805;28805;50230288;241;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.1838479, 48.8816743]}";yes;STIF 2019-01;Brossolette;3;yes;no;yes;yes;no;541;DEFENSE SEINE OUEST;Rueil-Malmaison;92063;-
Jean de la Fontaine;48.5094286,2.6327641;48.50940724529875, 2.6329116136266357;30898;30898;50169181;A;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.6327641, 48.5094286]}";yes;STIF 2018-07;Jean de la Fontaine;5;yes;yes;yes;yes;yes;518;GRAND MELUN;Dammarie-les-Lys;77152;-
Quai de Clichy;48.9020513,2.2869776;48.90203871889364, 2.286906483887707;23581;23581;50218353;238;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.2869776, 48.9020513]}";;;Quai de Clichy;2;;;;yes;;542;BOUCLE NORD DE SEINE;Levallois-Perret;92044;-
Camping;48.5256997,2.6693524;48.52565277202774, 2.6693368735495095;31143;31143;50169246;;0.01;10;"{""type"": ""Point"", ""coordinates"": [2.6693524, 48.5256997]}";no;STIF 2019-01;Camping;5;no;no;no;no;yes;518;GRAND MELUN;La Rochette;77389;-
