route_label,zdc_a,zdc_b,nom_a,nom_b,duree_mediane_secondes,nb_observations
D,411422,411429,Orry-la-Ville - Coye,Chantilly - Gouvieux,250,258
D,411486,59420,Malesherbes,Boigneville,310,452
D,59661,59825,La Ferté-Alais,Ballancourt,260,452
D,59470,59565,Maisse,Boutigny,250,452
D,62412,62558,Lieusaint - Moissy,Combs-la-Ville - Quincy,230,1072
D,66009,66535,Villiers-le-Bel - Gonesse - Arnouville,Goussainville,230,2011
D,61850,61926,Vosves,Melun,280,357
D,71410,72206,Gare du Nord,Stade de France Saint-Denis,290,577
D,62290,62412,Savigny-le-Temple - Nandy,Lieusaint - Moissy,190,1078
D,59953,62172,Le Coudray-Montceaux,Saint-Fargeau,210,357
D,62003,62176,Le Mée,Cesson,200,1078
D,72323,72787,Saint-Denis,Pierrefitte - Stains,210,2363
D,62176,62290,Cesson,Savigny-le-Temple - Nandy,190,1078
D,59984,60084,Mennecy,Moulin Galant,220,452
D,63071,69568,Vigneux-sur-Seine,Villeneuve-Saint-Georges,210,1684
D,61976,62172,Ponthierry - Pringy,Saint-Fargeau,220,357
D,411419,69450,La Borne Blanche (Gare),Survilliers - Fosses,190,970
D,59420,59447,Boigneville,Buno - Gironville,190,452
D,478505,63071,Juvisy,Vigneux-sur-Seine,180,1684
D,60084,60309,Moulin Galant,Corbeil-Essonnes,230,452
D,69671,69950,Villeneuve Triage,Créteil Pompadour,180,1601
D,60839,60981,Ris-Orangis,Viry-Châtillon,180,867
D,474151,73626,Châtelet - Les Halles,Gare de Lyon,210,572
D,65582,66009,Garges - Sarcelles,Villiers-le-Bel - Gonesse - Arnouville,160,2363
D,63072,69568,Montgeron - Crosne,Villeneuve-Saint-Georges,230,1082
D,62596,67476,Boussy-Saint-Antoine,Brunoy,160,1082
D,60309,60522,Corbeil-Essonnes,Évry - Val de Seine,210,872
D,61926,62003,Melun,Le Mée,170,1078
D,61850,61943,Vosves,Boissise-le-Roi,160,357
D,60797,60981,Grigny Centre,Viry-Châtillon,160,1476
D,66650,69300,Les Noues,Louvres,150,970
D,60006,60124,Le Plessis Chenet,Villabé,170,357
D,59447,59470,Buno - Gironville,Maisse,150,452
D,474151,71410,Châtelet - Les Halles,Gare du Nord,180,572
D,65582,72787,Garges - Sarcelles,Pierrefitte - Stains,140,2364
D,60542,60797,Orangis Bois de l'Épine,Grigny Centre,160,1673
D,60522,73627,Évry - Val de Seine,Grand Bourg,150,872
D,69950,73624,Créteil Pompadour,Le Vert de Maisons,140,2699
D,61943,61976,Boissise-le-Roi,Ponthierry - Pringy,140,357
D,60450,60542,Évry - Courcouronnes,Orangis Bois de l'Épine,140,1673
D,60309,60422,Corbeil-Essonnes,Le Bras de Fer,180,1673
D,63044,67476,Yerres,Brunoy,140,1082
D,72206,72323,Stade de France Saint-Denis,Saint-Denis,130,670
D,62558,62596,Combs-la-Ville - Quincy,Boussy-Saint-Antoine,130,1082
D,60839,73627,Ris-Orangis,Grand Bourg,150,872
D,411419,411422,La Borne Blanche (Gare),Orry-la-Ville - Coye,150,970
D,69568,69671,Villeneuve-Saint-Georges,Villeneuve Triage,130,1601
D,60422,60450,Le Bras de Fer,Évry - Courcouronnes,120,1673
D,63044,63072,Yerres,Montgeron - Crosne,110,1082
D,478505,60981,Juvisy,Viry-Châtillon,120,2343
D,66535,66650,Goussainville,Les Noues,120,970
D,422776,60124,Essonnes Robinson,Villabé,110,357
D,73624,73625,Le Vert de Maisons,Maisons-Alfort - Alfortville,120,2699
D,59953,60006,Le Coudray-Montceaux,Le Plessis Chenet,100,357
D,422776,60309,Essonnes Robinson,Corbeil-Essonnes,140,357
E,72041,72421,Noisy-le-Sec,Pantin,220,2191
E,68407,68419,Chelles - Gournay,Vaires - Torcy,310,3
E,462934,67839,Ozoir-la-Ferrière,Roissy-en-Brie,200,525
E,462934,67658,Ozoir-la-Ferrière,Gretz-Armainvilliers,190,525
E,71379,71517,Neuilly - Porte Maillot,La Défense,200,2446
E,71379,73688,Neuilly - Porte Maillot,Haussmann Saint-Lazare,180,2446
E,67897,73096,Émerainville - Pontault-Combault,Les Yvris Noisy-le-Grand,180,525
E,73096,73097,Les Yvris Noisy-le-Grand,Villiers-sur-Marne - Le Plessis-Trévise,160,525
E,67839,67897,Roissy-en-Brie,Émerainville - Pontault-Combault,150,525
E,72037,73297,Bondy,Le Raincy - Villemomble - Montfermeil,160,1117
E,67625,67658,Tournan,Gretz-Armainvilliers,270,525
E,73097,73098,Villiers-sur-Marne - Le Plessis-Trévise,Les Boullereaux Champigny,160,647
E,478733,73688,Magenta,Haussmann Saint-Lazare,160,2446
E,68407,73266,Chelles - Gournay,Le Chénay Gagny,140,1117
E,426280,72041,Rosny Bois Perrier,Noisy-le-Sec,140,309
E,478733,73798,Magenta,Rosa Parks,140,2271
E,73266,73278,Le Chénay Gagny,Gagny,130,1117
E,71609,73098,Nogent - Le Perreux,Les Boullereaux Champigny,140,647
E,72421,73798,Pantin,Rosa Parks,140,2191
E,71718,71935,Val de Fontenay,Rosny-sous-Bois,120,647
E,71609,71718,Nogent - Le Perreux,Val de Fontenay,120,647
E,72037,72041,Bondy,Noisy-le-Sec,110,1117
E,426280,71935,Rosny Bois Perrier,Rosny-sous-Bois,110,309
E,73278,73297,Gagny,Le Raincy - Villemomble - Montfermeil,90,1117
E,488087,71517,Nanterre-La-Folie,La Défense,110,2446
