zdc,niveau,commentaire
60422,"gare ou arrêt non accessible",
411406,"gare ou arrêt non accessible",
72287,"train accessible sur réservation préalable auprès du service AssistenGare",
422067,"train accessible sur réservation préalable auprès du service AssistenGare",
64582,"train accessible sur demande auprès d'un agent en station",
67172,"gare ou arrêt non accessible",
67177,"véhicule accessible en toute autonomie",
70412,"train accessible sur réservation préalable auprès du service AssistenGare",
70940,"train accessible sur demande auprès d'un agent en station",
71673,"train accessible sur demande auprès d'un agent en station",
62892,"train accessible sur demande auprès d'un agent en station",
63594,"gare ou arrêt non accessible",
492980,"train accessible sur réservation préalable auprès du service AssistenGare",
60665,"train accessible sur réservation préalable auprès du service AssistenGare",
65305,"train accessible sur réservation préalable auprès du service AssistenGare",
60536,"train accessible sur réservation préalable auprès du service AssistenGare",
66731,"gare ou arrêt non accessible",
65441,"train accessible sur réservation préalable auprès du service AssistenGare",
60987,"train accessible sur réservation préalable auprès du service AssistenGare",
411453,"gare ou arrêt non accessible",
72929,"train accessible sur demande auprès d'un agent en station",
68129,"train accessible sur demande auprès d'un agent en station",
67625,"train accessible sur réservation préalable auprès du service AssistenGare",
463850,"train accessible sur réservation préalable auprès du service AssistenGare",
68419,"train accessible sur réservation préalable auprès du service AssistenGare",
69671,"gare ou arrêt non accessible",
69625,"gare ou arrêt non accessible",
68916,"train accessible sur réservation préalable auprès du service AssistenGare",
61630,"gare ou arrêt non accessible",
73604,"train accessible sur réservation préalable auprès du service AssistenGare",
67027,"gare ou arrêt non accessible",
71212,"train accessible sur réservation préalable auprès du service AssistenGare",
70210,"train accessible sur demande auprès d'un agent en station",
67126,"gare ou arrêt non accessible",
66672,"gare ou arrêt non accessible",
71572,"train accessible sur réservation préalable auprès du service AssistenGare",
61727,"gare ou arrêt non accessible",
66795,"véhicule accessible en toute autonomie",
60028,"gare ou arrêt non accessible",
62851,"train accessible sur demande auprès d'un agent en station",
66858,"train accessible sur réservation préalable auprès du service AssistenGare",
65663,"gare ou arrêt non accessible",
73844,"train accessible sur réservation préalable auprès du service AssistenGare",
67241,"gare ou arrêt non accessible",
61537,"gare ou arrêt non accessible",
67016,"gare ou arrêt non accessible",
64483,"train accessible sur demande auprès d'un agent en station",
70623,"train accessible sur demande auprès d'un agent en station",
70505,"gare ou arrêt non accessible",
72073,"train accessible sur réservation préalable auprès du service AssistenGare",
66095,"train accessible sur réservation préalable auprès du service AssistenGare",
65399,"gare ou arrêt non accessible",
73614,"train accessible sur réservation préalable auprès du service AssistenGare",
62951,"train accessible sur demande auprès d'un agent en station",
411441,"gare ou arrêt non accessible",
69950,"train accessible sur réservation préalable auprès du service AssistenGare",
74077,"gare ou arrêt non accessible",
59843,"train accessible sur réservation préalable auprès du service AssistenGare",
65910,"véhicule accessible en toute autonomie",
73278,"train accessible sur réservation préalable auprès du service AssistenGare",
64025,"gare ou arrêt non accessible",
71135,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne C accessible sur demande auprès d'un agent en station et accessible sur réservation préalable auprès du service AssistenGare."
73626,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne A accessible sur demande auprès d'un agent en station. Lignes D et R accessibles sur réservation préalable auprès du service Accès Plus Transilien."
424296,"gare ou arrêt non accessible",
71410,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne H accessible en toute autonomie. Lignes B, D et K accessibles sur réservation préalable auprès du service Accès Plus Transilien."
60454,"gare ou arrêt non accessible",
72303,"train accessible sur réservation préalable auprès du service AssistenGare",
73627,"gare ou arrêt non accessible",
66063,"véhicule accessible en toute autonomie",
67924,"gare ou arrêt non accessible",
65897,"gare ou arrêt non accessible",
63893,"train accessible sur réservation préalable auprès du service AssistenGare",
69162,"gare ou arrêt non accessible",
65988,"gare ou arrêt non accessible",
71517,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne A accessible sur demande auprès d'un agent en station. Lignes E, L et U accessibles sur réservation préalable auprès du service Accès Plus Transilien."
70427,"train accessible sur demande auprès d'un agent en station",
72648,"train accessible sur réservation préalable auprès du service AssistenGare",
59953,"gare ou arrêt non accessible",
63025,"train accessible sur demande auprès d'un agent en station",
70359,"train accessible sur demande auprès d'un agent en station",
73624,"train accessible sur réservation préalable auprès du service AssistenGare",
64514,"train accessible sur demande auprès d'un agent en station",
72225,"gare ou arrêt non accessible",
66650,"gare ou arrêt non accessible",
411343,"gare ou arrêt non accessible",
65770,"gare ou arrêt non accessible",
64572,"gare ou arrêt non accessible",
63244,"train accessible sur réservation préalable auprès du service AssistenGare",
63320,"train accessible sur demande auprès d'un agent en station",
64674,"gare ou arrêt non accessible",
61926,"gare ou arrêt non accessible",
66321,"gare ou arrêt non accessible",
69065,"train accessible sur réservation préalable auprès du service AssistenGare",
60084,"gare ou arrêt non accessible",
488087,"train accessible sur réservation préalable auprès du service AssistenGare",
71379,"train accessible sur réservation préalable auprès du service AssistenGare","Ligne E et C accessible sur réservation préalable auprès du service AssistenGare et sur demande auprès d'un agent en station"
71609,"train accessible sur réservation préalable auprès du service AssistenGare",
68153,"train accessible sur demande auprès d'un agent en station",
60542,"train accessible sur réservation préalable auprès du service AssistenGare",
64175,"gare ou arrêt non accessible",
411422,"gare ou arrêt non accessible",
63175,"train accessible sur demande auprès d'un agent en station",
64199,"train accessible sur réservation préalable auprès du service AssistenGare",
64883,"train accessible sur réservation préalable auprès du service AssistenGare",
66952,"gare ou arrêt non accessible",
411459,"gare ou arrêt non accessible",
73798,"train accessible sur réservation préalable auprès du service AssistenGare",
73731,"gare ou arrêt non accessible",
61961,"gare ou arrêt non accessible",
62172,"gare ou arrêt non accessible",
411474,"gare ou arrêt non accessible",
411330,"gare ou arrêt non accessible",
59531,"gare ou arrêt non accessible",
73620,"gare ou arrêt non accessible","Ligne B  accessible sur demande auprès d'un agent en station. Ligne C non accessible."
64918,"train accessible sur réservation préalable auprès du service AssistenGare",
62290,"train accessible sur réservation préalable auprès du service AssistenGare",
67180,"gare ou arrêt non accessible",
70829,"train accessible sur réservation préalable auprès du service AssistenGare",
69196,"gare ou arrêt non accessible",
63880,"train accessible sur réservation préalable auprès du service AssistenGare",
67176,"gare ou arrêt non accessible",
60124,"gare ou arrêt non accessible",
67072,"gare ou arrêt non accessible",
71651,"train accessible sur demande auprès d'un agent en station",
422420,"train accessible sur réservation préalable auprès du service AssistenGare",
72132,"train accessible sur réservation préalable auprès du service AssistenGare",
63134,"gare ou arrêt non accessible",
72646,"train accessible sur réservation préalable auprès du service AssistenGare",
71321,"train accessible sur réservation préalable auprès du service AssistenGare",
61145,"gare ou arrêt non accessible",
59825,"gare ou arrêt non accessible",
64338,"gare ou arrêt non accessible",
411333,"gare ou arrêt non accessible",
71229,"train accessible sur réservation préalable auprès du service AssistenGare",
60247,"train accessible sur réservation préalable auprès du service AssistenGare",
59940,"gare ou arrêt non accessible",
65051,"gare ou arrêt non accessible",
73166,"train accessible sur demande auprès d'un agent en station",
