ligne,desserte_id,station
9,235,"Michel-Ange — Molitor"
9,236,"Michel-Ange — Auteuil"
9,237,Jasmin
9,238,Ranelagh
9,239,"La Muette"
9,240,"Rue de la Pompe"
9,241,Trocadéro
9,242,Iéna
9,243,"Alma — Marceau"
9,244,"Franklin D. Roosevelt"
9,245,"Saint-Philippe du Roule"
9,246,Miromesnil
9,247,Saint-Augustin
9,248,"Havre — Caumartin"
9,249,"Chaussée d'Antin — La Fayette"
9,250,"Richelieu — Drouot"
9,251,"Grands Boulevards"
9,252,"Bonne Nouvelle"
9,253,"Strasbourg — Saint-Denis"
9,254,République
9,255,Oberkampf
9,256,Saint-Ambroise
9,257,Voltaire
9,258,Charonne
9,259,"Rue des Boulets"
9,260,Nation
9,261,Buzenval
9,262,Maraîchers
9,263,"Porte de Montreuil"
9,264,Robespierre
9,265,"Croix de Chavaux"
9,266,"Mairie de Montreuil"
10,267,"Boulogne — Pont de Saint-Cloud"
10,268,"Boulogne — Jean Jaurès"
10,269,"Michel-Ange — Molitor"
10,270,Chardon-Lagache
10,271,Mirabeau
10,272,"Église d'Auteuil"
10,273,"Michel-Ange — Auteuil"
10,274,"Porte d'Auteuil"
10,275,"Javel - Parc André Citroën"
10,276,"Charles Michels"
10,277,"Avenue Émile Zola"
10,278,"La Motte-Picquet — Grenelle"
10,279,Ségur
10,280,Duroc
10,281,Vaneau
10,282,"Sèvres — Babylone"
10,283,Mabillon
10,284,Odéon
10,285,"Cluny — La Sorbonne"
10,286,"Maubert — Mutualité"
10,287,"Cardinal Lemoine"
10,288,Jussieu
10,289,"Gare d'Austerlitz"
11,290,Châtelet
11,291,"Hôtel de Ville"
11,292,Rambuteau
11,293,"Arts et Métiers"
11,294,République
11,295,Goncourt
11,296,Belleville
11,297,Pyrénées
11,298,Jourdain
11,299,"Place des Fêtes"
11,300,Télégraphe
11,301,"Porte des Lilas"
11,302,"Mairie des Lilas"
11,303,"Serge Gainsbourg"
11,304,"Romainville — Carnot"
11,305,"Montreuil — Hôpital"
11,306,"La Dhuys"
11,307,"Coteaux Beauclair"
11,308,Rosny-Bois-Perrier
12,309,"Mairie d'Aubervilliers"
12,310,"Aimé Césaire"
12,311,"Front Populaire"
12,312,"Porte de la Chapelle"
12,313,"Marx Dormoy"
12,314,"Marcadet — Poissonniers"
12,315,"Jules Joffrin"
12,316,"Lamarck — Caulaincourt"
12,317,Abbesses
12,318,Pigalle
12,319,Saint-Georges
12,320,Notre-Dame-de-Lorette
12,321,"Trinité — d'Estienne d'Orves"
12,322,Saint-Lazare
12,323,Madeleine
12,324,Concorde
12,325,"Assemblée Nationale"
12,326,Solférino
12,327,"Rue du Bac"
12,328,Vaneau
12,329,Rennes
12,330,Notre-Dame-des-Champs
12,331,"Montparnasse — Bienvenüe"
12,332,Falguière
12,333,Pasteur
12,334,Volontaires
12,335,Vaugirard
12,336,Convention
12,337,"Porte de Versailles"
12,338,"Corentin Celton"
12,339,"Mairie d'Issy"
13,340,"Les Courtilles"
13,341,"Les Agnettes"
13,342,"Gabriel Péri"
13,343,"Mairie de Clichy"
13,344,"Porte de Clichy"
13,345,Brochant
13,346,"Saint-Denis — Université"
13,347,"Basilique de Saint-Denis"
13,348,"Saint-Denis — Porte de Paris"
13,349,"Carrefour Pleyel"
13,350,"Mairie de Saint-Ouen"
13,351,Garibaldi
13,352,"Porte de Saint-Ouen"
